Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;23100;200;Loft;1;Efterisolering af loft mod uopvarmet tagrum (400 mm);1-1-1-0
False;False;35000;1700;Solceller;2;Montering af et solcelleanlæg på 10 m²;4-1-3-0
False;False;321900;1400;Terrændæk;0;Efterisolering af terrændæk iht. krav jævnfør kap. 11 (§279) i Bygningsreglementet.;1-4-1-0
