Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;7000;4600;Loft;494204;Efterisolering af loft;1-1-1-0
False;False;121600;5700;Hule ydervægge;494206;Efterisolering af hulmur;1-2-1-0
False;False;335700;5000;Terrændæk;494210;Etablering af nyt terrændæk.;1-4-1-0
