Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;10000;200;Loft;494284;Efterisolering af skråloft i bryggers;1-1-1-0
False;False;10000;20;Terrændæk;494285;Etablering af nyt terrændæk i badeværelse;1-4-1-0
False;False;23000;200;Terrændæk;494288;Etablering af nyt terrændæk i bryggers;1-4-1-0
False;False;27800;800;Vinduer;494289;Nye vinduer;1-3-1-0
False;True;33800;2300;Loft;494283;"Efterisolering af etageadskillelse mod uopvarmet loftrum

Udskiftning af loftlem";1-1-1-0
False;False;47000;900;Vinduer;494290;Nye vinduer og dør;1-3-1-0
False;False;67600;300;Terrændæk;494286;Etablering af nyt terrændæk i tilbygningen;1-4-1-0
False;True;85000;4100;Varmeanlæg;494294;Konvertering til luft/vand-varmepumpe;2-1-1-0
False;False;173400;1900;Terrændæk;494287;Etablering af nyt terrændæk;1-4-1-0
False;False;180600;2700;Lette ydervægge;494282;Efterisolering af lette ydervægge;1-2-3-0
