Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
1100;Vinduer;False;1-3-1-0;200;True;5;Montering af forsatsrunder af 2 lags lavenergi med varm ramme på mindre del af vinduer-døre er med 1 lags glas.
2100;Vinduer;False;1-3-1-0;400;True;4;Montering af forsatsrunder af 2 lags lavenergi med varm ramme på mindre del af vinduer-døre er med 1 lags glas.
6300;Vinduer;False;1-3-1-0;400;True;1;Udskiftning af hoveddør med 2 lags termorude til dør med 2 lags lavenergirude med varm ramme.
28500;Massive ydervægge;False;1-2-2-0;1200;True;3;Indvendig efterisolering (fra garage) af massiv væg mellem garage-kælder med 200 mm isolering og plader.
40000;Loft;False;1-1-1-0;1100;True;2;Efterisolering af loftsrum med 150 mm isolering.
40300;Solceller;False;4-1-3-0;1700;False;0;Montering af solceller mod syd som type Monokrystallinske silicium, 1,8 kW.
