Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
52500;Solceller;False;4-1-3-0;3300;True;1;Montage af nye solceller
53800;Loft;False;1-1-1-0;900;False;0;Efterisolering af loftsrum med yderligere 150 mm isolering
