Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
35300;Loft;False;1-1-1-0;900;True;2;Efterisolering af loftsrum med 150 mm isolering
40000;Kedler;False;2-1-2-0;13700;True;3;Installation af ny pillekedel
58500;Vinduer;False;1-3-1-0;1300;False;1;Udskiftning af eksisterende vinduer med 2 lags termorude
296900;Terrændæk;False;1-4-1-0;1200;False;0;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader
