Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;700;40;Varmtvandsrør;3;Isolering af tilslutningsrør til varmtvandsbeholder op til 50 mm;3-1-3-0
False;False;18800;80;Terrændæk;2;"Bad: 
Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader";1-4-1-0
False;False;41400;300;Loft;0;"Udskiftning af eksisterende loftslem til ny præfabrikeret loftslem
Efterisolering af loftsrum med 200/300 mm isolering";1-1-1-0
False;False;242100;700;Terrændæk;1;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
