Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;4000;800;Etageadskillelse;3;Isolering af uisoleret gulv mod uopvarmet kælder med 250 mm isolering.;1-4-2-0
False;True;17000;10600;Varmepumper;7;Installation af en omdrejningsstyret luft/luft varmepumpe.;2-1-5-0
False;False;28900;900;Solvarme;8;Installation af nyt solvarmeanlæg til brugsvandsproduktion og Installation af 250 liters solvarmebeholder.;2-1-6-0
False;True;31400;1600;Yderdøre;5;Udskiftning af yderdør, udskiftning af eksisterende yderdør og udskiftning af eksisterende terrassedør.;1-3-3-0
False;False;34500;1300;Solceller;9;Montage af solceller.;4-1-3-0
False;False;40900;700;Terrændæk;6;Ophugning af eksisterende gulv i baggang og køkken og støbning af nyt med 350 mm mineraluld eller polystyrenplader.;1-4-1-0
False;True;45200;1800;Vinduer;4;Udskiftning af eksisterende vinduer.;1-3-1-0
False;True;51500;15900;Loft;1;Isolering af uisolerede loftsrum med 400 mm isolering.;1-1-1-0
False;True;134400;6700;Krybekælder;0;Nedrivning af eksisterende krybekælder og etablering af nyt terrændæk med 350 mm isolering.;1-4-3-0
False;True;178000;15900;Massive ydervægge;2;Indvendig efterisolering af massive ydervægge med 250 mm og udvendig efterisolering af vægge mod uopvarmet stald med 250 mm.;1-2-2-0
