Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;5300;200;Yderdøre;2;Udskiftning af massiv yderdør;1-3-3-0
False;False;20100;400;Loft;1;Efterisolering af loftsrum med 250 mm isolering;1-1-1-0
False;True;40300;2200;Solceller;0;Montage af nye solceller, Monokrystallinske silicium, 1,8 kW;4-1-3-0
