Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;2600;700;Etageadskillelse med gulvvarme;494190;Efterisolering af gulv mod kælder;1-4-2-1
False;True;2800;900;Varmerør;494201;Isolering af varmefordelingsrør i kælder;2-2-2-0
False;True;8800;800;Varmefordelingspumper;494198;Udskiftning af cirkulationspumper i kælder.;2-2-3-0
False;False;21500;500;Vinduer;494192;Nye ruder.;1-3-1-0
False;False;32000;1600;Solvarme;494195;Etablering af solfangeranlæg;2-1-6-0
False;False;43300;200;Loft;494191;Efterisolering af skråvæg;1-1-1-0
False;False;75000;2300;Solceller;494197;Etablering af solceller;4-1-3-0
False;True;123200;4900;Hule ydervægge;494189;Efterisolering af hulmur;1-2-1-0
