Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;3700;200;Massive ydervægge;0;Indvendig efterisolering af massive ydervægge med 200 mm;1-2-2-0
False;True;23800;800;Kælder ydervægge;1;Udvendig efterisolering af kælderydervægge mod jord med 200 mm;1-2-4-0
False;False;67500;2800;Solceller;2;Montage af nye solceller;4-1-3-0
