Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;17000;300;Kælder ydervægge;1;Udvendig efterisolering af kælderydervægge mod jord med 200 mm;1-2-4-0
False;True;40300;2400;Solceller;0;Montage af nye solceller, Monokrystallinske silicium, 1,8 kW;4-1-3-0
False;False;172400;2400;Massive ydervægge;2;Indvendig efterisolering af massive ydervægge af letklinkerbeton i stueetagen og kældervægge over jord med 100 mm;1-2-2-0
