Nummer;CalculatedEmissionLowering;CalculatedEmission;FixedCharge;CalculatedConsumption;AdditionalHeatCost;CalculatedEnergySavings;ElectricityPrice;HeatSupplyCost;CalculatedEnergyConsumption;HeatSupply;ExtraCostPrYear;TotalProfitableInvestment;AdditionalHeat;PossibleEnergyLabelForAllProfitableProposals;TotalRecommendedInvestment;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYearForAllProposals;PossibleEnergyLabelForAllProposals;ExtraCostPrYear;TotalProfitableInvestment
311441348;4896700;24678100;0;68900;0;24000;2,1;519,090909090909;121200;NaturalGas;12400;Kan ikke beregnes;Ingen;C;0;0;12400;C;300;9900
311441349;0;0;0;0;0;0;0;0;0;;0;Kan ikke beregnes;Ingen;;0;0;0;;0;0
311441350;0;-222560;0;3500;0;0;2,3;519,090909090909;6700;NaturalGas;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441351;7697100;8581200;0;32100;0;27700;2,2;992,673267326733;32300;FuelGasOil;27000;Kan ikke beregnes;Ingen;C;0;0;27000;B;23700;271700
311441352;1368100;1908200;0;15300;0;6900;1,57;1570;9700;Electricity;11100;Kan ikke beregnes;Ingen;C;0;0;11100;A2010;7200;137300
311441353;2146000;3821000;0;9800;0;10600;2,3;519,090909090909;18800;NaturalGas;8200;Kan ikke beregnes;Ingen;B;0;0;8200;A2010;6100;146200
311441354;0;0;0;0;0;0;0;0;0;;0;Kan ikke beregnes;Ingen;;0;0;0;;0;0
311441365;373800;534900;0;15900;435,077272727273;10400;2,3;435,077272727273;24900;Wood;8100;Kan ikke beregnes;Wood;C;0;0;8100;C;4900;108200
311441366;682200;3398300;0;10200;0;3500;0;605,454545454546;16800;NaturalGas;2100;Kan ikke beregnes;Wood;C;0;0;2100;C;1300;31700
311441367;8010800;7738000;0;28900;0;6400;2,2;992,673267326733;29100;FuelGasOil;21800;Kan ikke beregnes;Ingen;D;0;0;21800;D;18100;101900
311441368;332100;1297100;3322,65;13900;2200;4300;2,2;491,007194244604;18000;DistrictHeat;2800;Kan ikke beregnes;Electricity;C;0;0;2800;B;0;300
311441369;566700;3702600;0;9500;0;2800;2,25;519,090909090909;18200;NaturalGas;1600;Kan ikke beregnes;Ingen;C;0;0;1600;C;0;0
311441370;7136800;15863100;0;40400;0;35300;2,2;519,090909090909;77800;NaturalGas;36100;Kan ikke beregnes;Ingen;C;0;0;36100;B;25300;317500
311441371;4638600;5461000;0;19200;0;16400;2,1;933,267326732673;20600;FuelGasOil;14500;Kan ikke beregnes;Ingen;C;0;0;14500;A2010;10700;200000
311441372;405600;1183700;3322,65;12300;0;6300;2,2;491,007194244604;18300;DistrictHeat;3100;Kan ikke beregnes;Ingen;C;0;0;3100;A2010;0;0
311441373;194300;-98780;0;5800;0;1000;1,347;1347;4300;Electricity;1400;Kan ikke beregnes;Ingen;A2010;0;0;1400;A2010;0;700
