Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;5000;300;Varmefordelingspumper;2;Installation af ny fordelingspumpe;2-2-3-0
False;False;10900;200;Loft;4;Indvendig efterisolering af skråvægge med 150 mm isolering;1-1-1-0
False;False;11500;300;Vinduer;1;Udskiftning af eksisterende vinduer til vinduer med energiruder,;1-3-1-0
False;False;38300;600;Loft;0;Efterisolering af loftsrum op til 400 mm isolering og hævning af gangbro.;1-1-1-0
False;False;67500;1600;Solceller;3;Montage af nye solceller;4-1-3-0
