Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;2200;40;Loft;0;Udskiftning af eksisterende loftslem til ny præfabrikeret loftslem;1-1-1-0
False;True;93800;5700;Solceller;1;Montage af nye solceller;4-1-3-0
False;False;395900;7500;Varmepumper;2;Ophugning af eksisterende terrændæk og støbning af nyt med 350 mm mineraluld eller polystyrenplader, Konvertering til varmepumpe, Etablering af nyt varmefordelingsanlæg til gulvvarme, Installation af ny varmtvandsbeholder og Installation af nyt jordvarmeanlæg;2-1-5-0
