Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
5500;Varmefordelingspumper;False;2-2-3-0;700;True;1;Ny varmefordelingspumpe
36800;Loft;False;1-1-1-0;700;False;0;Efterisolering af loftsrum med 100 mm isolering
