Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;9100;2600;Hule ydervægge;0;Isolering af uisolerede hule ydervægge af tegl ved indblæsning af mineraluldsgranulat;1-2-1-0
False;False;9900;200;Yderdøre;3;Udskiftning af eksisterende terrassedør;1-3-3-0
False;False;17600;400;Yderdøre;2;Udskiftning af eksisterende yderdøre;1-3-3-0
False;False;34400;700;Loft;1;Efterisolering af loftsrum med 250 mm isolering;1-1-1-0
False;False;68400;1300;Vinduer;4;Udskiftning af eksisterende vinduer;1-3-1-0
False;False;187500;6000;Varmepumper;5;Installation af ny luft/vand varmepumpe, montage af nye solceller og installation af ny varmtvandsbeholder;2-1-5-0
