Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;2400;50;Loft;3;Udskiftning af eksisterende loftslem til ny præfabrikeret loftslem;1-1-1-0
False;False;9100;300;Solvarme;7;Installation af nyt solvarmeanlæg til brugsvandsproduktion og Installation af 250 liters solvarmebeholder;2-1-6-0
False;True;25200;1300;Lette ydervægge;4;Indvendig efterisolering af tagrem med 200 mm;1-2-3-0
False;False;27000;200;Yderdøre;5;Udskiftning af eksisterende terrassedør og Udskiftning af eksisterende yderdør;1-3-3-0
False;True;60000;1700;Loft;1;Efterisolering af loftsrum med 300 mm isolering;1-1-1-0
False;False;67500;2200;Solceller;0;Montage af nye solceller;4-1-3-0
False;False;148100;700;Vinduer;6;Udskiftning af eksisterende vinduer;1-3-1-0
False;False;263200;1200;Terrændæk;2;Ophugning af eksisterende terrændæk og støbning af nyt med 350 mm mineraluld eller polystyrenplader;1-4-1-0
