Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
40300;Solceller;False;4-1-3-0;2400;True;0;Montage af nye solceller
50000;Kælder ydervægge;False;1-2-4-0;2300;True;1;Udvendig efterisolering af kælderydervægge mod jord med 200 mm
