Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
11900;Loft;False;1-1-1-0;1300;False;494361;Efterisolering af loft
19000;Kælder ydervægge;False;1-2-4-0;1400;False;494360;Efterisolering af kælderydervæg
54700;Vinduer;False;1-3-1-0;1800;False;494358;Udskifte vinduer og dør
100300;Kældergulv;False;1-4-4-0;1400;False;494365;Etablering af nyt kældergulv
