Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
800;Varmtvandsrør;False;3-1-3-0;200;True;1;Isolering af tilslutningsrør til varmtvandsbeholder efter normen for termisk isolering.
5000;Varmefordelingspumper;False;2-2-3-0;200;False;0;Udskift shuntpumpe fabrikat Wilo til ny mere energieffektiv.
94500;Fjernvarme;False;2-1-3-0;6300;True;2;Konvertering fra fjernvarme til el og installation af ny luft/vand varmepumpe.
