Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;13600;200;Loft;0;Efterisolering af loftsrum med 150 mm isolering;1-1-1-0
False;False;67500;1600;Solceller;1;Montage af nye solceller;4-1-3-0
