Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
10800;Vinduer;False;1-3-1-0;200;False;1;Udskiftning af eksisterende vinduer med alm termoruder.
17600;Yderdøre;False;1-3-3-0;300;False;0;Udskiftning af eksisterende yderdør
67500;Solceller;False;4-1-3-0;2200;False;2;Montage af nye solceller
