Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
8800;Loft;False;1-1-1-0;300;False;3;Efterisolering af skunke med 200 mm isolering
11600;Yderdøre;False;1-3-3-0;600;True;1;Udskiftning af eksisterende yderdør uden energiglas
30800;Loft;False;1-1-1-0;800;False;2;Efterisolering af loftsrum med 200 mm isolering
40300;Solceller;False;4-1-3-0;2700;True;0;Montage af nye solceller, Monokrystallinske silicium, 1,8 kW
66500;Solvarme;False;2-1-6-0;1900;False;4;Installation af nyt solvarmeanlæg til brugsvandsproduktion og Installation af ny varmtvandsbeholder
