SeebClassification;ProposalID;Investment;Savings;Recommended;Profitable;SeebClassificationDescription;ProposalHeadline
1-3-1-0;5;5500;80;False;False;Vinduer;Udskiftning af eksisterende vinduer med 3 lags termorude
1-2-2-0;2;18500;800;False;True;Massive ydervægge;Indvendig efterisolering af massive ydervægge med 200 mm
1-4-1-0;3;28000;200;False;False;Terrændæk;Ophugning af eksisterende terrændæk og støbning af nyt med 300 mm mineraluld eller polystyrenplader
1-1-1-0;0;50400;1400;False;True;Loft;Efterisolering af loftsrum med 300 mm isolering
1-3-1-0;4;64600;1100;False;False;Vinduer;Udskiftning af eksisterende vinduer med 2 lags termorude og Udskiftning af eksisterende vinduer med 3 lags termorude
1-4-3-0;1;166000;1600;False;False;Krybekælder;Nedrivning af eksisterende krybekælder og etablering af nyt terrændæk med 300 mm isolering
