SeebClassification;ProposalID;Investment;Savings;Recommended;Profitable;SeebClassificationDescription;ProposalHeadline
1-3-1-0;1;4200;200;False;False;Vinduer;Udskiftning af eksisterende vinduer med alm termorude.
1-1-1-0;0;33000;900;False;True;Loft;Indvendig efterisolering af skråvægge med 200 mm isolering
4-1-3-0;2;67500;2000;False;False;Solceller;Montage af nye solceller
