Investment;ProposalHeadline;Savings;Profitable;Recommended;ProposalID;SeebClassification;SeebClassificationDescription
20500;Udskiftning af ruder i vinduer med termoruder;900;True;False;1;1-3-1-0;Vinduer
32000;Etablering af solvarme ;700;False;False;2;2-1-6-0;Solvarme
77000;Etablering af solceller;3500;False;False;0;4-1-3-0;Solceller
