SeebClassification;ProposalID;Investment;Savings;Recommended;Profitable;SeebClassificationDescription;ProposalHeadline
2-2-4-0;494387;6700;3900;False;True;Automatik;Montage af termostatventiler på radiatorer og gulvvarme.
1-4-1-1;494366;25500;3200;False;False;Terrændæk med gulvvarme;Etablering af nyt terrændæk.
1-4-1-0;494367;356500;4100;False;False;Terrændæk;Etablering af nyt terrændæk.
