SeebClassification;ProposalID;Investment;Savings;Recommended;Profitable;SeebClassificationDescription;ProposalHeadline
1-3-3-0;1;45000;900;False;False;Yderdøre;Udskiftning af eksisterende yderdøre
1-3-1-0;0;70400;1400;False;False;Vinduer;Udskiftning af eksisterende vinduer
