ProposalID;SeebClassificationDescription;Savings;Recommended;Investment;Profitable;ProposalHeadline;SeebClassification
0;Loft;200;False;13600;False;Efterisolering af loftsrum med 150 mm isolering;1-1-1-0
1;Solceller;1600;False;67500;False;Montage af nye solceller;4-1-3-0
