id_lokalId;husnummer;jordstykke;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;placehodlerForKælder;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
00ae9cc5-e52b-451e-9a4e-92fbc9f38441;0a3f5083-e380-32b8-e044-0003ba298018;1044904;510;75;75;;;;2017;;;;;;9
00aefe3e-441b-4ee8-9a7e-4439f45afddd;0a3f5085-0143-32b8-e044-0003ba298018;1656838;510;57;57;;;1962;;7;1;;POINT(658470.81 6199820.49);5;6
00af51a7-1ff5-401a-8f3b-0b0828b617bc;0a3f5082-c2f8-32b8-e044-0003ba298018;1992578;510;131;131;;;1979;2016;5;1;2;POINT(663788.25 6185431.88);5;6
00afa1bc-9be4-45be-8117-5853e8f4666d;0a3f5084-d946-32b8-e044-0003ba298018;1647519;510;88;88;;;1957;2009;5;1;2;POINT(658542.68 6196057.25);5;6
00b0f56c-b1d9-4b9f-acf4-7713e2fea04b;0a3f5083-d173-32b8-e044-0003ba298018;1049600;229;57;;57;;1981;;9;;;POINT(666924.62 6199984.54);5;6
00b0fc15-968c-48e7-811c-f201063909d2;0a3f5082-cb05-32b8-e044-0003ba298018;1988223;120;168;168;;;1970;1997;2;7;;POINT(655146.51 6185204.52);5;6
00b434c7-4d47-401d-9fa7-2a75d4f487ac;0a3f5084-f441-32b8-e044-0003ba298018;1649794;210;84;;84;;1991;;9;;90;POINT(659576.1 6199614.85);5;6
00b4629b-09e8-4671-971c-0e83aa46c613;0a3f5083-e22b-32b8-e044-0003ba298018;1041414;510;44;44;;;1940;1970;7;1;;POINT(669213.04 6202367.1);5;6
00b53c72-b4cf-4e3f-acb5-dab51879b192;0a3f5084-d26a-32b8-e044-0003ba298018;1653230;510;88;88;;;1979;;7;1;2;POINT(656480.05 6201862.24);5;6
00b67660-5ae6-4e46-a4c9-a07a8dcc6610;0a3f5084-d8f5-32b8-e044-0003ba298018;1662832;210;240;;240;;1925;;9;;90;POINT(663264.93 6194502.3);5;6
00b6dfc7-dfba-4040-9820-2c5aad1a4071;0a3f5084-c54d-32b8-e044-0003ba298018;1663210;585;28;28;;;1996;;9;;90;POINT(658061.96 6193039.83);5;6
00b6eb3a-a26a-43e4-8907-8290858d295d;0a3f5083-d764-32b8-e044-0003ba298018;1043327;510;37;37;;;1956;;3;9;;POINT(670886.58 6203401.48);5;10
00b7e30d-9bbb-4a19-97a1-ef076a26bf83;0a3f5084-c74a-32b8-e044-0003ba298018;1663013;120;166;274;;;1880;;2;4;;POINT(663737.81 6192957.77);5;6
00b83c7e-a563-44d7-98fb-84f889e93621;0a3f5084-fc3d-32b8-e044-0003ba298018;1662290;585;43;43;;;1997;;7;1;90;POINT(657428.45 6193099.23);5;6
00bc3bf9-5130-4fd5-86d6-8c327652f2a3;0a3f5083-e272-32b8-e044-0003ba298018;1043395;220;93;;93;;1984;2016;7;1;;POINT(670823.81 6203617.47);5;6
00bd03a2-1a14-41ff-9b9a-83a816b18698;0a3f5084-dc93-32b8-e044-0003ba298018;1656248;510;80;80;;;2008;;7;1;;POINT(658814.89 6200637.91);5;6
00bdd360-d424-40bc-a280-a4442b9faa21;0a3f5082-c4ab-32b8-e044-0003ba298018;1983727;510;71;71;;;1971;;7;1;;POINT(657377.47 6192018.01);5;6
00bdf875-8fb9-4857-a937-81947050bec2;0a3f5082-bc1f-32b8-e044-0003ba298018;1984506;210;-45;;-45;;;;;;;;;9
00bee02a-7744-4039-bfb9-a2152b84104d;0a3f5084-d034-32b8-e044-0003ba298018;1655022;510;52;52;;;1967;;7;1;;POINT(663283.38 6201350.05);5;6
00bf7249-750c-4367-a76e-0dbcf0b13d9b;0a3f5084-ba78-32b8-e044-0003ba298018;1643893;120;84;94;;;1880;;2;3;;POINT(664554.51 6194618.54);5;6
00c05a04-8eff-4208-b6ad-86d86cb51db2;0a3f5084-dfaf-32b8-e044-0003ba298018;1663720;120;140;140;;;1978;;1;;;POINT(661720.56 6192803.52);5;6
00c06c19-2db5-4bae-873e-d912520d914b;0a3f5084-bb55-32b8-e044-0003ba298018;1658099;510;86;86;;;1995;;7;1;2;POINT(653170.24 6203685.92);5;6
00c0c7f8-0879-4747-9ab7-ff193502dd20;0a3f5083-dceb-32b8-e044-0003ba298018;1050085;585;7;7;;;1978;;9;;;POINT(667894.42 6202215.38);5;6
00c21f13-18ed-4eb4-bd42-e94bbc8bc021;0a3f5084-ec16-32b8-e044-0003ba298018;1659488;510;80;68;;;;2009;;;;;;9
00c25894-673f-436c-b240-d5d2b0bb1111;0a3f5083-d179-32b8-e044-0003ba298018;1048876;510;138;138;;;1961;;7;1;2;POINT(665680.1 6201978.5);5;6
00c47ae9-687a-400d-a630-de861851cef2;0a3f5083-e711-32b8-e044-0003ba298018;1043905;510;58;73;;;1928;;7;1;2;POINT(671299.18 6204736.97);5;6
00c48993-181b-46b9-bfcc-df5701726afb;0a3f5084-f49b-32b8-e044-0003ba298018;1655832;120;55;55;;;1860;;2;3;;POINT(664672.97 6199008.62);5;6
00c6b0d7-cce0-4ed4-a7fe-9c8176c649f8;0a3f5084-ebba-32b8-e044-0003ba298018;1652223;510;70;70;;;1974;;7;1;2;POINT(661244.32 6203454.69);5;6
00c6ee85-6c83-452a-9fe8-720edebda01a;0a3f5084-da5b-32b8-e044-0003ba298018;1659491;510;55;55;;;1972;;7;1;2;POINT(644225.21 6206157.63);5;6
00c87227-a4ca-4643-888f-623c43a5c4f0;0a3f5084-f181-32b8-e044-0003ba298018;1660158;510;50;50;;;1968;;3;4;;POINT(645974.39 6205152.53);5;6
00c9cf82-1306-42a3-8d34-2704bfd57a67;0a3f5083-e940-32b8-e044-0003ba298018;1047383;120;110;197;;;2001;;1;;90;POINT(666134.67 6200301.57);5;6
00ca4564-378d-4b0f-8d40-cab7067de326;0a3f5084-dec2-32b8-e044-0003ba298018;1658300;585;16;16;;;1972;;9;;;POINT(653629.76 6204068.92);5;6
00cb10ac-29ab-4abb-9451-e1677b4dc6b6;0a3f5082-9f56-32b8-e044-0003ba298018;1986071;510;136;136;;;1972;2015;5;1;2;POINT(650400.97 6188861.7);5;6
00cb7978-4d63-404d-90f2-c7ba81da5cc8;0a3f5082-b71d-32b8-e044-0003ba298018;2608157;110;161;161;;;1790;1960;5;1;2;POINT(654554.83 6179849.54);5;6
00cb8373-7706-4fff-a96b-191af1fa8f3b;0a3f5084-c9ae-32b8-e044-0003ba298018;1647122;510;50;50;;;1953;;7;1;2;POINT(658490.32 6195668.05);5;6
00cda716-b8d0-45f7-a279-d8e9fd7cb60e;0a3f5083-ccfc-32b8-e044-0003ba298018;1041944;510;70;70;;;1957;1975;7;1;;POINT(669624.11 6203188.13);5;6
00ce3e6d-7db7-4313-8b7d-03249bdcf065;0a3f5082-bf5c-32b8-e044-0003ba298018;1992734;220;151;;151;;1933;;9;;90;POINT(661236.29 6188973.43);5;6
00ceaf46-9062-4717-84fa-fae6f6f97af6;19910d90-0070-41c9-e044-0003ba298018;2655583;510;137;137;;;2011;;5;1;2;POINT(663693.19 6202719.69);5;6
00d16091-80d0-46d1-a754-8c010c8f0d56;0a3f5084-cc5c-32b8-e044-0003ba298018;1646245;510;121;58;;;1967;2014;3;4;;POINT(653869.28 6203740.87);5;6
00d22883-09a8-4c34-ab1f-f5a5f9702204;0a3f5084-e5dd-32b8-e044-0003ba298018;1658928;310;50;;50;;1982;1987;7;1;;POINT(643494.76 6205863.01);5;10
00d30797-70f9-4813-8755-b22ebe718a7c;0a3f5082-b7a7-32b8-e044-0003ba298018;1984518;211;76;;76;;1950;;9;;;POINT(658255.08 6186276.84);5;6
00d51af7-15be-4d55-98f6-970d457e00d0;0a3f5083-d1ad-32b8-e044-0003ba298018;1050029;510;80;80;;;1960;2016;7;1;;POINT(667934.22 6202118.21);5;6
00d5470a-c4da-4644-a982-47f89846bc57;0a3f5082-c339-32b8-e044-0003ba298018;1984100;120;80;80;;;1910;;5;1;7;POINT(656454.39 6187643.96);5;6
00d6668e-c255-4300-841e-5c9ba0b0fe27;0a3f5082-c6a2-32b8-e044-0003ba298018;1984511;210;100;;100;;1908;;9;;;POINT(658109.25 6185872.01);5;6
00d68889-af5a-40b5-8725-275b92075c75;0a3f5083-ce8a-32b8-e044-0003ba298018;1049664;120;80;110;;;1941;;1;;;POINT(666768.29 6200162.69);5;6
00d8dce1-af36-4575-adc0-9fcefad24403;0a3f5084-d6c6-32b8-e044-0003ba298018;1653150;510;57;54;;;1977;;7;1;;POINT(663298.84 6202652.33);5;6
00db9062-e07e-4994-b371-5948ca519b1d;0a3f5084-e5a2-32b8-e044-0003ba298018;1657165;510;62;62;;;2006;;3;4;4;POINT(648164.22 6205088.03);5;6
00dbe2e8-b893-4255-ab68-146818bfb693;0a3f5083-dfe3-32b8-e044-0003ba298018;1046284;510;64;64;;;1950;1999;3;4;7;POINT(667186.25 6202736.15);5;6
00e02597-1bbe-4bb5-a49f-d6855bd44e62;0a3f5084-e537-32b8-e044-0003ba298018;1653502;210;396;;396;;1972;;9;;;POINT(657069.71 6202583.37);5;6
00e2ce08-0d1d-4e9a-82ab-43a97de5f932;0a3f5084-f0a0-32b8-e044-0003ba298018;1648276;510;52;52;;;1944;1973;7;1;2;POINT(659004.51 6195731.32);5;6
00e5659c-18bb-43d2-8096-0f0597f41fb0;263ac840-947a-4c26-b5f1-c8cb57baf48c;1652675;210;60;;60;;1932;;9;;;POINT(662274.58 6203316.05);5;10
00e81301-d4cc-4343-b4f0-7b06d07b3236;0a3f5084-d2f4-32b8-e044-0003ba298018;1650993;510;58;58;;;1992;;7;1;2;POINT(659318.86 6198064.94);5;6
00e8397c-b672-4fb3-b783-5104ac2d44d2;0a3f5084-f2dc-32b8-e044-0003ba298018;1660071;510;72;72;;;2016;;7;1;2;POINT(644804.12 6205928.54);5;6
00e8b803-d9be-4c46-9729-ac8335c77bab;0a3f5085-0109-32b8-e044-0003ba298018;1647832;510;49;49;;;1963;1973;7;1;;POINT(658663.13 6197033.67);5;6
00e8d1d0-caa6-49e0-9e62-d4ad067e6853;0a3f5084-d735-32b8-e044-0003ba298018;1652711;120;144;240;;;1970;2015;2;4;;POINT(662241.11 6203428.96);5;6
00e975ab-ff54-4810-89b3-3e7d80de5130;0a3f5084-d277-32b8-e044-0003ba298018;1651700;120;110;140;60;;1952;;1;;;POINT(662907.98 6199128.19);5;6
00ed2196-6978-43a2-89ec-b2693f12fb58;0a3f5083-d829-32b8-e044-0003ba298018;1048998;585;75;75;;;2012;;5;1;2;POINT(665455.39 6202098.43);5;6
00ed5128-dd35-4976-b3f7-5340a252ad0e;0a3f5084-e85d-32b8-e044-0003ba298018;1652019;510;87;87;;;1977;;7;1;;POINT(661581.61 6203775.49);5;6
00edf647-cc01-4306-97ce-e147493515b1;0a3f5083-cb11-32b8-e044-0003ba298018;1042773;510;109;109;;;2014;;7;1;2;POINT(670451.74 6203335.05);5;6
00efb871-a85b-46b2-af2b-9eddff7e58da;0a3f5084-f648-32b8-e044-0003ba298018;1660127;110;140;180;;;1897;;7;1;;;;10
00f15c54-5a9a-4eda-a84f-1db7c6c9d1ee;0a3f5084-f1d4-32b8-e044-0003ba298018;1656205;217;368;;368;;1990;;9;;;POINT(659505.46 6200877.66);5;6
