Investment;ProposalHeadline;Savings;Profitable;Recommended;ProposalID;SeebClassification;SeebClassificationDescription
200;Isolering af tilslutningsrør til varmtvandsbeholder med 30 mm;6200;True;False;211037;3-1-3-0;Varmtvandsrør
1200;Isolering af varmefordelingsrør i kælderen med 30 mm;6900;True;False;211035;2-2-2-0;Varmerør
1500;Efterisolering af gulv mod kælder;6300;True;False;211015;1-4-2-0;Etageadskillelse
10500;Ny dør med energirude.;6200;False;False;211029;1-3-3-0;Yderdøre
10700;Nyt vindue med 3 lags energirude.;6200;False;False;211023;1-3-1-0;Vinduer
11200;Nye tagvinduer med 2 lags energiruder.;6200;False;False;211024;1-3-2-0;Ovenlys
15800;Efterisolering af gulv mod krybekælder;7100;True;False;211017;1-4-3-0;Krybekælder
46500;Efterisolering af skunke, skråvægge og hanebåndsloft;6600;False;False;211033;1-1-1-0;Loft
75000;Etablering af solceller;6100;False;False;211034;4-1-3-0;Solceller
