id_lokalId;husnummer;jordstykke;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;eta022Kælderareal;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
0000ce19-e849-4a03-b0cf-bad06ba5ae9b;0a3f5099-865a-32b8-e044-0003ba298018;2681409;217;640;;640;0;1980;1993;9;;;POINT(523689.31 6293740.97);5;6
000257a9-43b3-4755-a395-7e5bf1bab8f0;0a3f509d-05b3-32b8-e044-0003ba298018;2083366;211;116;;116;0;1910;;9;;;POINT(531145.49 6305883.68);5;6
0002874c-26d8-4319-87c5-53cc8de278e3;0a3f5099-862f-32b8-e044-0003ba298018;1062582;210;288;;288;0;1968;;9;;;POINT(520197.14 6297404.85);5;6
0003a87b-f446-4812-ad46-6a424244bdb1;0a3f509c-eeef-32b8-e044-0003ba298018;2079341;120;110;83;;0;1937;1989;2;4;2;POINT(533824.16 6293991.14);5;6
0007d3d4-14c7-4b33-bf45-5a4faf6bf81d;0a3f5099-81eb-32b8-e044-0003ba298018;1066182;120;127;127;;0;1969;;2;3;;POINT(519160.8 6293676.6);5;6
00097cca-4f5d-4b24-a9da-f50d915417e4;0a3f509a-d498-32b8-e044-0003ba298018;2364514;120;90;90;;0;1956;;1;;;POINT(515626.59 6313334.93);5;6
000c9cf7-0e6d-4ee3-ba46-55d132d1b654;0a3f5099-930e-32b8-e044-0003ba298018;1066170;110;104;188;;9;1931;;2;3;;POINT(519481.05 6293743.35);5;6
00100335-96e3-471b-94cc-e44d3e9f20e1;0a3f509c-f329-32b8-e044-0003ba298018;2077488;130;109;109;;0;1987;;1;;;POINT(531908 6294553);5;6
0011b0dc-a1d2-4fb4-9b04-e4b13788b317;0a3f509c-f13d-32b8-e044-0003ba298018;2083563;210;220;;220;0;1922;1971;9;;;POINT(528567.03 6307146.56);5;6
0011eb1a-8f1f-4d7b-88cc-6dea9d66ef18;0a3f509c-f476-32b8-e044-0003ba298018;2083048;210;100;;100;0;1969;;9;;;POINT(526541.15 6299256.24);5;6
001283f4-befd-4e84-91a8-ca54828c104e;0a3f509d-0238-32b8-e044-0003ba298018;2076942;120;180;180;;0;1961;2008;1;;;POINT(531258.37 6294894.08);5;6
0015f2d4-0a63-4417-b87a-ad5a7b6e4efb;0a3f509a-eaea-32b8-e044-0003ba298018;2542247;120;304;253;;0;2004;;1;;2;POINT(514466.04 6312586.62);5;6
0019382d-9762-415c-a969-45d04fd8d0ef;0a3f5099-8162-32b8-e044-0003ba298018;1067673;510;83;83;;0;1972;;7;1;;POINT(512729.29 6282043.3);5;6
001da4fb-2183-4530-b291-dd2856b5516c;0a3f5099-7fe1-32b8-e044-0003ba298018;1066559;210;140;;140;0;1968;;9;;;POINT(517910.37 6289080.45);5;6
00208e52-caa4-4580-be12-5c6b31d49769;0a3f5099-82f4-32b8-e044-0003ba298018;1068572;120;75;131;;0;1853;;7;1;2;POINT(514873.61 6290288.62);5;6
0028ed8e-5e03-4e3a-aa0d-2862728333b4;0a3f5099-8d2b-32b8-e044-0003ba298018;1064387;120;124;124;;0;1977;;2;3;;POINT(520212.13 6291375.39);5;6
002ad7eb-4198-46da-b3b2-d96b9e388295;0a3f5099-84be-32b8-e044-0003ba298018;1069313;210;88;;150;0;1929;;9;;;POINT(516957.93 6296769.25);5;6
002e5f75-6981-4913-b4a4-769d4d14981f;0a3f509a-e505-32b8-e044-0003ba298018;2360695;233;42;;42;0;1953;;9;;;POINT(511877.31 6307477.79);5;6
0031497d-fb8a-4c75-bfb9-72ba2efb56f7;0a3f5099-07e4-32b8-e044-0003ba298018;1231949;130;56;85;;0;1952;;1;;;POINT(530623.32 6283823.95);5;6
003218c5-31e7-4082-9962-d03ec59625ca;0a3f5099-846a-32b8-e044-0003ba298018;1064244;217;280;;280;0;1976;;9;;;POINT(516427.35 6291007.16);5;6
00345dd3-d2fe-451d-9b40-ca8fcc84f4ba;0a3f509c-f7dd-32b8-e044-0003ba298018;2082076;210;700;;700;0;1917;;9;;;POINT(524736.19 6299102.12);5;6
00346c5a-8e78-4635-8786-89a416bffa8f;0a3f509c-f9d6-32b8-e044-0003ba298018;2078100;120;127;111;;0;1979;1985;1;;;POINT(530769.27 6296447.77);5;6
00350f94-8156-4885-9504-0129ca53da75;0a3f509d-0425-32b8-e044-0003ba298018;2082842;130;77;77;;0;1988;;1;;;POINT(525942.14 6299525.39);5;6
003a1a50-65e7-4106-9093-d298c7eb3059;0a3f509a-d657-32b8-e044-0003ba298018;2364933;130;60;90;;0;1917;;2;7;;POINT(516328.29 6313815.52);5;6
003bf34c-c356-4884-acbb-d5a51709a68b;0a3f5099-09a8-32b8-e044-0003ba298018;1231729;120;158;250;;0;1965;2005;1;;90;POINT(530208.94 6283079.76);5;6
003f8746-5da5-490b-bd76-18d7d3177fb6;0a3f5099-8531-32b8-e044-0003ba298018;1068636;442;110;;110;0;1950;;9;;;POINT(513996.38 6292180.21);5;6
0042a847-1f2c-4fb3-b70e-b6db515add47;0a3f5099-84ec-32b8-e044-0003ba298018;1066697;510;96;82;;0;1968;2009;7;1;2;POINT(511480.72 6283150.91);5;6
00445458-c93f-48c7-8736-ce73bcb64e98;0a3f5099-096c-32b8-e044-0003ba298018;1231001;210;663;;663;0;1988;1991;9;;;POINT(527899.18 6281562.08);5;6
004bb86a-6d33-49e2-9851-899a6e0abed9;0a3f509a-d853-32b8-e044-0003ba298018;2364776;120;174;174;;0;1965;1987;1;;90;POINT(515836.14 6313011.25);5;6
00502340-b133-4d13-91a0-b828943e424c;0a3f509a-e9e7-32b8-e044-0003ba298018;2359030;120;124;205;;0;1812;1973;5;1;2;POINT(516862.22 6312967.88);5;6
00514fd4-12fa-4326-bee8-a3baaafcb8f9;0a3f5099-8474-32b8-e044-0003ba298018;1068565;211;286;;286;0;1973;;2;3;;POINT(515141.15 6291252.98);5;6
00578329-8fee-4920-9724-033688c89690;0a3f509a-de06-32b8-e044-0003ba298018;2356976;510;87;85;;0;1993;;5;1;2;POINT(513434.68 6299775.18);5;6
0057f329-089f-439a-86b0-c32015296f7d;0a3f5099-8f88-32b8-e044-0003ba298018;1067206;510;80;80;;0;1985;2004;7;1;;POINT(512032.81 6283503.85);5;6
0059f97b-744e-4720-a2e0-b7bfedb55928;0a3f509d-01cd-32b8-e044-0003ba298018;2081761;140;423;785;;205;1940;2012;1;;2;POINT(534859.65 6304669.42);5;6
005aac66-10a8-4205-9fd1-0c717c16fa4a;0a3f509a-e365-32b8-e044-0003ba298018;2361145;210;20;;20;0;1960;;2;3;;POINT(514014.1 6305925.01);5;6
005ced60-03d6-4c2c-a19f-d365ecec2088;0a3f509c-f03d-32b8-e044-0003ba298018;2080686;110;136;161;;0;1930;;2;3;;POINT(528293.08 6303346.72);5;6
0064f8f6-f52e-40c4-bc19-ccb6b125e51b;0a3f509a-e26c-32b8-e044-0003ba298018;2357665;120;214;172;;0;1997;;1;;;POINT(516170.46 6301295.83);5;6
00676513-2be3-4762-878a-e6d6e92a22f8;0a3f509a-dbb0-32b8-e044-0003ba298018;100071193;217;274;;274;0;1988;;9;;;POINT(520511.66 6314737.81);5;6
0067b36a-a575-4723-8f65-c54b1f2ec037;0a3f509a-e861-32b8-e044-0003ba298018;2363200;216;78;;78;0;1930;;9;;;POINT(519219.57 6310043.07);5;6
006b2ca3-dcb3-46ab-bf45-da26cb5e3961;0a3f509a-db43-32b8-e044-0003ba298018;100024542;523;46;46;;0;1993;2010;7;1;;POINT(510807 6305402);5;6
006e2497-059f-4a0f-9f6c-2533c8258aa9;0a3f509a-e836-32b8-e044-0003ba298018;2362453;120;137;137;;0;1974;;2;7;2;POINT(517399.64 6306968.66);5;6
0070b8d9-0cca-4b7b-8a99-ce745f602ef1;0a3f5099-863e-32b8-e044-0003ba298018;1065381;321;114;;114;0;1985;;1;;;POINT(521022.6 6292912.95);5;6
0071942f-e429-44d8-8bbc-23968cfc3bb2;0a3f5099-12db-32b8-e044-0003ba298018;1231023;120;80;100;;0;1945;;2;3;;POINT(529792.84 6283424.9);5;6
0078b233-105d-427c-b534-1e6e9bd65f7a;0a3f509a-dfa0-32b8-e044-0003ba298018;2359281;211;340;;510;0;1953;1967;2;3;;POINT(513341.02 6310721.12);5;6
00795b74-49b7-4134-ad88-2dfdf40c51c8;0a3f509a-e58f-32b8-e044-0003ba298018;2359097;120;157;157;;0;1990;;1;;2;POINT(515317.36 6312597.62);5;6
007a671e-5d29-48c3-8cc0-62660e1b6820;0a3f509d-04fa-32b8-e044-0003ba298018;2076462;214;172;;172;0;1970;;9;;;POINT(529441.01 6295728.02);5;6
007a9c2b-6b9e-4fad-8689-0ee12123641a;0a3f5099-85a1-32b8-e044-0003ba298018;1067889;110;91;91;;0;1912;2015;7;1;2;POINT(511633.96 6281584.96);5;6
007ed576-96da-4cc3-9168-5a4016cbbca3;0a3f509a-e303-32b8-e044-0003ba298018;2361334;120;113;113;;0;1976;;1;;;POINT(513798.37 6305858.91);5;6
008807a1-683a-463d-84dd-3033c9724aa4;0a3f509a-d7e1-32b8-e044-0003ba298018;2357656;120;118;172;;0;1943;1988;2;7;;POINT(516164.31 6301593.31);5;6
0000ce19-e849-4a03-b0cf-bad06ba5ae9b;0a3f5099-865a-32b8-e044-0003ba298018;2681409;217;640;;640;0;1980;1993;9;;;POINT(523689.31 6293740.97);5;6
000257a9-43b3-4755-a395-7e5bf1bab8f0;0a3f509d-05b3-32b8-e044-0003ba298018;2083366;211;116;;116;0;1910;;9;;;POINT(531145.49 6305883.68);5;6
0002874c-26d8-4319-87c5-53cc8de278e3;0a3f5099-862f-32b8-e044-0003ba298018;1062582;210;288;;288;0;1968;;9;;;POINT(520197.14 6297404.85);5;6
0003a87b-f446-4812-ad46-6a424244bdb1;0a3f509c-eeef-32b8-e044-0003ba298018;2079341;120;110;83;;0;1937;1989;2;4;2;POINT(533824.16 6293991.14);5;6
0007d3d4-14c7-4b33-bf45-5a4faf6bf81d;0a3f5099-81eb-32b8-e044-0003ba298018;1066182;120;127;127;;0;1969;;2;3;;POINT(519160.8 6293676.6);5;6
00097cca-4f5d-4b24-a9da-f50d915417e4;0a3f509a-d498-32b8-e044-0003ba298018;2364514;120;90;90;;0;1956;;1;;;POINT(515626.59 6313334.93);5;6
000c9cf7-0e6d-4ee3-ba46-55d132d1b654;0a3f5099-930e-32b8-e044-0003ba298018;1066170;110;104;188;;9;1931;;2;3;;POINT(519481.05 6293743.35);5;6
00100335-96e3-471b-94cc-e44d3e9f20e1;0a3f509c-f329-32b8-e044-0003ba298018;2077488;130;109;109;;0;1987;;1;;;POINT(531908 6294553);5;6
0011b0dc-a1d2-4fb4-9b04-e4b13788b317;0a3f509c-f13d-32b8-e044-0003ba298018;2083563;210;220;;220;0;1922;1971;9;;;POINT(528567.03 6307146.56);5;6
0011eb1a-8f1f-4d7b-88cc-6dea9d66ef18;0a3f509c-f476-32b8-e044-0003ba298018;2083048;210;100;;100;0;1969;;9;;;POINT(526541.15 6299256.24);5;6
001283f4-befd-4e84-91a8-ca54828c104e;0a3f509d-0238-32b8-e044-0003ba298018;2076942;120;180;180;;0;1961;2008;1;;;POINT(531258.37 6294894.08);5;6
0015f2d4-0a63-4417-b87a-ad5a7b6e4efb;0a3f509a-eaea-32b8-e044-0003ba298018;2542247;120;304;253;;0;2004;;1;;2;POINT(514466.04 6312586.62);5;6
0019382d-9762-415c-a969-45d04fd8d0ef;0a3f5099-8162-32b8-e044-0003ba298018;1067673;510;83;83;;0;1972;;7;1;;POINT(512729.29 6282043.3);5;6
