id_lokalId;husnummer;jordstykke;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;placehodlerForKælder;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
000d0ef4-2350-4dce-8dca-f96154a4241b;0a3f507e-21ce-32b8-e044-0003ba298018;996997;130;61;109;;;1978;;1;;;POINT(713602.17 6169671.75);5;6
00102401-e415-478a-b572-c93f86eb3072;0a3f507e-1928-32b8-e044-0003ba298018;994286;120;115;115;;;1969;;1;;;POINT(711314.4 6172158.2);5;6
00158ebd-fccc-4850-a78f-2efb864f91c1;0a3f507e-1d5c-32b8-e044-0003ba298018;994978;120;124;152;;;1988;2016;2;7;;POINT(711762.61 6170390.87);5;6
0016e40c-ab2f-40c3-ab83-808af2c98a94;0a3f507e-21cd-32b8-e044-0003ba298018;997091;130;63;112;;;1978;;1;;;POINT(713557.25 6169733.08);5;6
00236e13-d415-4a55-a3f2-d0af581d3307;0a3f507e-19c9-32b8-e044-0003ba298018;994986;130;75;124;;;1975;;1;;0;POINT(711710.46 6172329.32);5;6
002e54e9-c33e-4408-a99f-3da9a4bd88cf;0a3f507e-1ff4-32b8-e044-0003ba298018;994049;120;134;134;;;1972;;2;7;;POINT(711065.64 6171824.05);5;6
003a5edb-ad2f-408f-b353-9e049a85cbc3;0a3f507e-1a78-32b8-e044-0003ba298018;997583;120;112;112;;;1965;;2;3;;POINT(713820.08 6168950.94);5;6
00437f06-0393-4363-9364-82c07b04136f;0a3f507e-1606-32b8-e044-0003ba298018;994397;120;210;360;;;1920;;2;7;;POINT(711594.27 6170749.08);5;6
00513731-ea07-4d55-a6fc-6ba70871f498;0a3f507e-211c-32b8-e044-0003ba298018;996436;120;200;200;;;2018;;2;7;;POINT(713352.15 6169013.49);5;6
005a4a3a-6f13-41ea-a155-33740f3bc0e2;0a3f507e-2199-32b8-e044-0003ba298018;996392;120;171;171;;;1977;;2;7;;POINT(713426.41 6168723.22);5;6
