Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
6900;False;Vinduer;6;False;200;Udskiftning af vindue til trelags energirude;1-3-1-0
7600;False;Yderdøre;7;True;500;Udskiftning til ny yderdør med tolags energirude;1-3-3-0
9500;False;Yderdøre;3;False;300;Udskiftning til ny terrassedør med trelags energirude;1-3-3-0
9500;False;Yderdøre;4;False;300;Udskiftning til ny terrassedør med trelags energirude;1-3-3-0
10900;False;Hule ydervægge;0;True;1400;Efterisolering af hule mure med indblæs isolering;1-2-1-0
13300;False;Vinduer;2;False;400;Udskiftning af vindue til trelags energirude;1-3-1-0
13700;False;Vinduer;1;False;100;Udskiftning af vindue til trelags energirude;1-3-1-0
45000;False;Solvarme;9;False;2000;Installation af ny 180 liters varmtvandsbeholder af typen Metro Therm og Montering af plan solfanger til brugsvand;2-1-6-0
60000;False;Loft;5;False;1200;Efterisolering af hanebåndsloft med 200 mm isolering;1-1-1-0
113000;False;Varmepumper;8;True;7900;Installation af nyt luft/vand anlæg, Vaillant Hybridvarmepumpe geoTHERM VWL 35/4 og Montage af nye solceller, Monokrystallinske silicium, 3,6 kW;2-1-5-0
