Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
18100;False;Tag og loft;32;False;1100;Supplerende loftisolering.;1-1-0-0
25000;False;Varmepumper;35;True;4500;Montering af ekstra luft til luft varmepumpe.;2-1-5-0
45000;False;Solvarme;36;False;1900;Montering af solfanger på tag.;2-1-6-0
72400;False;Vinduer, ovenlys og døre;31;False;3400;Udskiftning til energitermoruder.;1-3-0-0
190200;False;Ydervægge;33;False;2600;Supplerende ydervægsisolering.;1-2-0-0
357200;False;Gulve;34;False;2600;Supplerende gulvisolering.;1-4-0-0
