Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
3500;False;Loft;4;False;50;Efterisolering af hanebåndsloft med 100 mm isolering;1-1-1-0
3600;False;Loft;3;False;80;Efterisolering af hanebåndsloft med 150 mm isolering;1-1-1-0
4800;False;Loft;0;False;200;Efterisolering af vandret skunk med 200 mm isolering;1-1-1-0
5000;False;Loft;1;False;200;Efterisolering af lodret skunk med 150 mm isolering;1-1-1-0
11000;False;Yderdøre;8;False;200;Udskiftning af yderdør m. termorude;1-3-3-0
13800;False;Yderdøre;7;True;600;Udskiftning af 1 glas yderdør m. vindue;1-3-3-0
15800;False;Loft;2;False;300;Indvendig efterisolering af skråvægge med 150 mm isolering;1-1-1-0
20000;False;Varmepumper;10;False;900;Installation af ny luft-luft varmepumpe;2-1-5-0
25000;False;Vinduer;5;False;600;Udskiftning af vinduer med nye energivinduer (BR15 krav);1-3-1-0
35000;False;Kedler;9;True;2300;Installation af ny kondenserende gaskedel;2-1-2-0
60000;False;Solceller;11;False;2800;Montering af et solcelleanlæg på 20 m²;4-1-3-0
68500;False;Vinduer;6;False;1600;Udskiftning af vinduer med nye energivinduer (BR15 krav);1-3-1-0
