Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
4400;True;Varmefordelingspumper;11;True;13800;Syd Øst: Ny varmefordelingspumpe, som Grundfos Magna 3 pumpe, 40-60F, 178 W ;2-2-3-0
4400;False;Varmefordelingspumper;12;True;13500;Filter: Ny varmefordelingspumpe, som Grundfos Magna 3 pumpe, 40-60F, 178 W;2-2-3-0
16300;False;Varmefordelingspumper;10;True;23100;Hovedcirkulationspumpe: Ny varmefordelingspumpe, som Grundfos Magna 3 pumpe, 65-80 F, 478 W ;2-2-3-0
18000;False;Belysning;2;True;6200;Billardrum: Installation af LED panel, med dagslysstyring og bevægelsesmelder, iht. 2016 krav;4-1-1-0
28000;True;Varmtvandspumper;8;True;4000;Montage af ny cirkulationspumpe, som Magna 3, 65-40 FN, 194 W;3-1-4-0
35000;False;Ventilation;4;False;700;Montering af nye kammerblæser, svømmehal;1-5-1-0
41400;False;Ovenlys;13;False;900;Ovenlys:Udskiftning af vindue til trelags energirude, efter BR15.;1-3-2-0
70000;False;Ventilation;14;True;10800;Udsugning, toiletter, gange mm: Reducere flow efter belastning;1-5-1-0
100000;True;Solvarme;6;True;5600;Installation af nyt 20 m² solvarmeanlæg til brugsvandsproduktion;2-1-6-0
100800;False;Varmtvandsrør;5;True;4900;Isolering af brugsvandsrør og cirkulationsledning op til 50 mm;3-1-3-0
105000;False;Ventilation;3;True;41000;Montering af nye kammerblæser, Konferencerum + Restauranter + Køkken.;1-5-1-0
234000;False;Belysning;1;True;168200;Gange: Installation af LED panel, med dagslysstyring og bevægelsesmelder, iht. 2016 krav;4-1-1-0
291000;False;Belysning;7;True;42300;Kontorer, depotrum, træningslokale mm: Installation af LED panel, med bevægelsesmelder, iht. 2016 krav;4-1-1-0
472500;False;Solceller;0;True;50400;Montage af nye solceller, Monokrystallinske silicium, 28 kW;4-1-3-0
2804000;False;Vinduer;9;False;63800;Udskiftning af vindue til trelags energirude, energiklasse A.;1-3-1-0
