Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
35200;False;Yderdøre;0;False;1000;Udskiftning til nyt skydedørsparti med trelags energirude;1-3-3-0
63000;False;Solceller;1;True;5000;Montage af nye solceller, Monokrystallinske silicium, 3,6 kW;4-1-3-0
125500;False;Varmeanlæg;2;True;6400;Etablering af nyt varmefordelingsanlæg til radiatorer, Ny varmefordelingspumpe, som Grundfos Alpha2, 15-60/25-60/25-60A/32-60, 34 W, Installation af ny 190 liters varmtvandsbeholder til Bosch Compress 6000 AW serien, Installation af nyt luft/vand anlæg, Bosch Compress 6000 AW-13 og Nedtag el radiator ;2-1-1-0
