Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
2900;False;Lette ydervægge;252648;False;30;Efterisolering af kvisflunke.;1-2-3-0
4400;False;Varmefordelingspumper;252657;True;0;Udskiftning af cirkulationspumpe;2-2-3-0
17100;False;Varmerør;252658;True;1200;Efterisolering af varmefordelingsrør op til i alt 60 mm;2-2-2-0
86500;False;Loft;252651;True;3100;Efterisolering af loft, skunk og skråvæg.;1-1-1-0
188400;False;Vinduer;252653;False;2300;"Nye vinduer med 3 lags energirude.

Nye isolerede massive døre.";1-3-1-0
407400;False;Terrændæk;252650;False;1700;Etablering af nyt terrændæk;1-4-1-0
