Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
6000;False;Tag og loft;66;False;200;Efterisolering af skunkgulve/etageadskillelser mod skunk med 100 mm.;1-1-0-0
9200;False;Tag og loft;65;False;400;Efterisolering af lodrette skunkvægge med 100 mm.;1-1-0-0
11825;False;Tag og loft;64;True;1100;Efterisolering af hanebåndsloft med 200 mm.;1-1-0-0
18000;False;Tag og loft;67;False;800;Efterisolering af skråvægge med 100 mm. ;1-1-0-0
25560;False;Ydervægge;63;False;300;Efterisolering af lette ydervægge med 250 mm.;1-2-0-0
61220;False;Vinduer, ovenlys og døre;62;True;5000;Udskiftning af 2 lags termoruder til energiruder ;1-3-0-0
135044;False;Varmeanlæg;61;True;18700;Konvertering til naturgas;2-0-0-0
