Nummer;CalculatedConsumption;CalculatedEnergyConsumption;ElectricityPrice;FixedCharge;HeatSupplyCost;ExtraCostPrYear;TotalProfitableInvestment;CalculatedEmissionLowering;AdditionalHeat;CalculatedEmission;HeatSupply;AdditionalHeatCost;CalculatedEnergySavings;PossibleEnergyLabelForAllProposals;TotalRecommendedInvestment;PossibleEnergyLabelForAllProfitableProposals;ExtraCostPrYearForAllProposals;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYear;TotalProfitableInvestment
905163;Er ikke beregnet;Er ikke beregnet;2;0;772,727272727273;Er ikke beregnet;1200;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;D1;1800;;1800;1200
200012580;Er ikke beregnet;Er ikke beregnet;2;1138,1;557;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;C;21000;;18000;72800
100106662;Er ikke beregnet;Er ikke beregnet;2;0;930,693069306931;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;0;;0;0
311022522;96900;83100;2,06;0;1166,33663366337;94400;Kan ikke beregnes;23901900;Ingen;22086000;FuelGasOil;0;66100;C;4700;C;94400;0;93600;0
100208062;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;;0;;0;0
100269199;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;D;12000;;6400;50000
100162739;Er ikke beregnet;Er ikke beregnet;2,1;0;762,727272727273;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;NaturalGas;437,727272727273;Er ikke beregnet;;;C;2700;;0;0
311330962;43000;32800;2,25;21055,86;668,21;0;Kan ikke beregnes;0;Ingen;2126200;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
100200820;Er ikke beregnet;Er ikke beregnet;2;0;2000;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;Electricity;437,727272727273;Er ikke beregnet;;;F;44700;;23400;99600
200053950;Er ikke beregnet;Er ikke beregnet;2;1219,9625;597,3;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B;289060;;172400;1209200
311164738;4800;3000;2,3;3054,27;580,45;0;Kan ikke beregnes;0;Ingen;420200;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311148805;43600;69900;2,2;500;615,818181818182;28600;Kan ikke beregnes;8736100;Ingen;14245400;NaturalGas;0;18200;A2010;0;A2010;28600;0;23400;0
100200030;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;C;0;;0;0
311205251;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
311177384;24700;13500;2,05;0;2050;19400;Kan ikke beregnes;6251800;Wood;7757100;Electricity;386,363636363636;9600;B;0;B;19400;0;19300;234700
311073249;10300;12500;2,32;0;818,181818181818;5700;Kan ikke beregnes;1469900;Ingen;2550000;NaturalGas;0;5400;B;109900;B;5700;0;4300;0
310012641;290500;365900;1,98;16000;750;88700;Kan ikke beregnes;24215200;Ingen;74641600;NaturalGas;0;117000;C;9369600;D;88700;0;9300;0
311367011;14100;19900;2,26;0;708,181818181818;7700;Kan ikke beregnes;1874000;Ingen;4047400;NaturalGas;0;9200;C;0;D;7700;0;4100;88700
311144235;36400;48600;0;7937;586,21;20600;Kan ikke beregnes;5113800;Ingen;6791400;DistrictHeat;0;22100;C;517900;D;20600;0;11700;0
311383738;13500;24000;2,36;0;494,845360824742;3400;Kan ikke beregnes;29600;Ingen;162800;WoodPellets;0;6300;C;0;D;3400;0;1000;14500
311089738;10800;8300;2,3;3829,53;648,24;2600;Kan ikke beregnes;751300;Ingen;1666100;DistrictHeat;0;1100;A2010;0;B;2600;0;0;0
311193674;15800;18700;2;0;841,584158415842;14400;Kan ikke beregnes;4529000;Wood;4968900;FuelGasOil;0;18000;A2020;0;C;14400;0;3700;85000
311183141;6640;4269;2;3671,04;580,45;0;Kan ikke beregnes;0;Ingen;-60109710;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
200023346;Er ikke beregnet;Er ikke beregnet;2;0;2000;Er ikke beregnet;84000;Er ikke beregnet;;Er ikke beregnet;Electricity;0;Er ikke beregnet;;;B;11000;;11000;84000
311355115;1800;1200;1,48;0;1480;0;Kan ikke beregnes;0;Ingen;230100;Electricity;0;0;A2020;0;A2020;0;0;0;0
310031511;13700;17300;2;0;790,909090909091;9800;Kan ikke beregnes;3199300;Ingen;4045900;NaturalGas;0;6300;A2015;150800;A2015;9800;0;9600;0
311057570;93705;91357;2;42329,31;573,76;0;Kan ikke beregnes;0;Ingen;-655218540;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311435060;6200;3400;2,5;4172,41;585,09;0;Kan ikke beregnes;0;Ingen;220400;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311435060;6200;3400;2,5;4172,41;585,09;0;Kan ikke beregnes;0;Ingen;220400;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311435060;6200;3400;2,5;4172,41;585,09;0;Kan ikke beregnes;0;Ingen;220400;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311149937;12900;19200;2,2;1000;615,818181818182;4100;Kan ikke beregnes;1337700;Wood;3921900;NaturalGas;0;6500;C;195600;C;4100;0;0;0
311331244;31400;28000;1,22;0;1118,81188118812;24700;198800;4187600;Electricity;7979900;FuelGasOil;1220;20700;A2010;0;A2010;24700;0;24700;198800
311327497;4500;3400;1,6;2626,88;557,23;0;Kan ikke beregnes;0;Ingen;215200;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311418906;11900;18900;2,3;0;631,818181818182;10000;Kan ikke beregnes;3298000;Ingen;3839300;NaturalGas;0;16200;A2015;0;A2010;10000;0;8100;144900
300005953;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
311278005;16800;11300;1,7;0;1700;17400;328200;6427800;Wood;6262100;Electricity;382,727272727273;10000;A2020;0;A2020;17400;0;17400;328200
100268927;Er ikke beregnet;Er ikke beregnet;2;0;940,594059405941;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;20400;;2200;11600
311267929;14500;25300;2,5;0;572,727272727273;8100;Kan ikke beregnes;2273800;Ingen;5157200;NaturalGas;0;5200;B;0;B;8100;0;6800;107400
311147089;20700;13800;1,9;0;1900;10400;Kan ikke beregnes;3384600;Wood;6718200;Electricity;386,363636363636;6900;D;0;E;10400;0;7800;0
200019887;Er ikke beregnet;Er ikke beregnet;2;0;649,090909090909;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;F;3000;;1600;3200
311384625;11600;15800;2,3;0;732,727272727273;4800;Kan ikke beregnes;513400;Ingen;3219200;NaturalGas;0;2600;B;0;B;4800;0;3800;50000
311236642;9600;10700;2;3334,62;580,45;4900;Kan ikke beregnes;1328100;Ingen;1508700;DistrictHeat;0;6700;A2020;0;A2015;4900;0;3500;104600
100260717;Er ikke beregnet;Er ikke beregnet;2;0;727,272727272727;Er ikke beregnet;4100;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;D;15200;;15200;4100
311226561;7100;12400;2,22;0;572,727272727273;4200;Kan ikke beregnes;1363300;Ingen;2519400;NaturalGas;0;4300;A2010;0;C;4200;0;2300;52500
311346381;8200;8900;2,25;3218,9;557,23;1400;Kan ikke beregnes;163800;Ingen;574000;DistrictHeat;0;2500;A2010;0;B;1400;0;0;0
311194496;264400;314400;2,2;81819,89;580,45;43000;Kan ikke beregnes;11986700;Ingen;44327600;DistrictHeat;0;40600;A2010;0;B;43000;0;26400;350000
902629;Er ikke beregnet;Er ikke beregnet;0;0;816,831652317174;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C2;0;;0;0
311201238;21900;24100;0;0;910,891089108911;6900;Kan ikke beregnes;2009100;Ingen;6389400;FuelGasOil;0;7100;C;0;C;6900;0;5700;89600
310023459;11200;5600;2;0;2000;2200;Kan ikke beregnes;747200;Ingen;3708900;Electricity;0;1100;C;56500;C;2200;0;1400;0
311373400;6200;6300;2,25;401,2772;919,66;1100;Kan ikke beregnes;79300;Ingen;403700;DistrictHeat;0;1200;A2010;0;B;1100;0;0;0
311209971;17600;11800;1,7;0;1700;13800;168500;5346300;Wood;6567700;Electricity;386,363636363636;1500;B;0;B;13800;0;13800;168500
311176151;81400;101700;2,25;22377,68;580,45;27200;Kan ikke beregnes;7081900;Ingen;14331300;DistrictHeat;0;35300;A2010;0;B;27200;0;8900;101300
310022133;17300;22300;2;0;776,363636363636;6800;Kan ikke beregnes;1797400;Wood;4543100;NaturalGas;0;8800;C;575800;D;6800;0;4100;0
311179619;11500;11400;2,2;3995,6;661,81;4400;Kan ikke beregnes;1167200;Ingen;1594800;DistrictHeat;0;3600;A2015;0;B;4400;0;800;13600
100198283;Er ikke beregnet;Er ikke beregnet;2;0;1889,99998569489;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;Electricity;0;Er ikke beregnet;;;B;5330;;12200;5500
100208063;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;;0;;0;0
311417300;32199;49517;2,2;2399,76;585,09;0;Kan ikke beregnes;0;Ingen;-2172300;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311281600;43300;74500;2,3;0;453,60824742268;23200;Kan ikke beregnes;4725400;FuelGasOil;3412500;WoodPellets;2300;22200;C;0;C;23200;0;20400;249100
311419444;7800;6300;2,3;4113,41;585,09;0;Kan ikke beregnes;0;Ingen;-19614400;DistrictHeat;0;0;A2020;0;A2020;0;0;0;0
311103779;13100;15900;1,78;0;672,727272727273;5000;Kan ikke beregnes;1604800;Electricity;4231500;NaturalGas;1780;4200;B;0;D;5000;0;100;0
311327493;4800;3000;1,6;3129,2;557,23;0;Kan ikke beregnes;0;Ingen;191100;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311443358;14500;15700;2,26;5317,66;585,09;2800;Kan ikke beregnes;256100;Ingen;1014700;DistrictHeat;0;1500;A2010;0;A2010;2800;0;2600;34500
100155985;Er ikke beregnet;Er ikke beregnet;2;0;1333,8;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;C;500;;0;0
311331469;6707;3914;2,25;4086,46;668,21;0;Kan ikke beregnes;0;Ingen;-31307250;DistrictHeat;0;0;A2020;0;A2020;0;0;0;0
311278165;344800;441800;2,2;88368,47;580,45;42300;Kan ikke beregnes;10260500;Ingen;62289600;DistrictHeat;0;72700;C;0;C;42300;0;35800;920000
311085704;37300;39300;2,2;7400,01;759,22;11500;Kan ikke beregnes;3211900;Ingen;5539900;DistrictHeat;0;7100;C;0;C;11500;0;8900;0
200033617;Er ikke beregnet;Er ikke beregnet;2;1138,1;557;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;C;26400;;300;300
100172739;Er ikke beregnet;Er ikke beregnet;2;0;2000;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;Electricity;437,727272727273;Er ikke beregnet;;;;0;;0;0
311127049;17900;10500;1,7;0;1700;8700;Kan ikke beregnes;3359100;Ingen;6943000;Electricity;0;5100;E;0;F;8700;0;6600;0
311181274;15100;17800;0;4614;586,21;4900;Kan ikke beregnes;1124400;Ingen;2502800;DistrictHeat;0;1700;B;0;B;4900;0;4800;95000
311435070;5800;2800;2,5;4172,41;585,09;0;Kan ikke beregnes;0;Ingen;177500;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311435070;5800;2800;2,5;4172,41;585,09;0;Kan ikke beregnes;0;Ingen;177500;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311435070;5800;2800;2,5;4172,41;585,09;0;Kan ikke beregnes;0;Ingen;177500;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
310007835;11900;6000;2;0;2000;900;Kan ikke beregnes;298400;Ingen;3924300;Electricity;0;400;C;31500;C;900;0;500;0
311134609;6800;11000;2,05;0;615,818181818182;2900;Kan ikke beregnes;931800;Ingen;2242000;NaturalGas;0;1400;B;0;C;2900;0;0;0
311168375;10100;12500;2,28;2829,99;580,45;4300;Kan ikke beregnes;1071400;Ingen;1754100;DistrictHeat;0;6000;A2010;0;C;4300;0;2100;52500
100161954;Er ikke beregnet;Er ikke beregnet;2;1219;0;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;C;-210;;0;0
311119514;11635;9027;2,5;5520,81;648,24;0;Kan ikke beregnes;0;Wood;-600620520;DistrictHeat;0;0;B;0;B;0;0;0;0
311303076;5100;3700;2;3039,5;557,23;0;Kan ikke beregnes;0;Ingen;518900;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311052646;24000;20600;2,1;0;1166,33663366337;16900;Kan ikke beregnes;4262900;Ingen;5466300;FuelGasOil;0;12700;A2010;0;A2010;16900;0;16900;0
311169127;12600;19700;2,2;0;640,909090909091;7100;Kan ikke beregnes;2223200;Wood;4006600;NaturalGas;0;8600;C;0;D;7100;0;3300;60000
100268307;Er ikke beregnet;Er ikke beregnet;2;1219,9625;597,3;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;DistrictHeat;437,727272727273;Er ikke beregnet;;;D;2800;;1000;3500
311297946;13300;9100;2,2;7993,61;580,45;3600;Kan ikke beregnes;1039600;Ingen;1273300;DistrictHeat;0;2600;A2020;0;B;3600;0;0;0
311009962;33200;29100;2,1;0;1141,58415841584;17800;Kan ikke beregnes;4177200;Ingen;7732700;FuelGasOil;0;15400;B;160800;C;17800;0;14000;0
311388444;13299;11892;2,2;4207,56;585,09;600;Kan ikke beregnes;63000;Ingen;-149097650;DistrictHeat;0;1000;A2010;0;A2010;600;0;0;0
311404923;4900;2800;2,45;3228,4;585,09;0;Kan ikke beregnes;0;Ingen;179400;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311317888;89200;75300;2,05;47255,988;557,23;0;Kan ikke beregnes;0;Ingen;10613100;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
310012641;290500;365900;1,98;16000;750;88700;Kan ikke beregnes;24215200;Ingen;74641600;NaturalGas;0;117000;C;9369600;D;88700;0;9300;0
311430018;18100;27100;2,23;0;581,818181818182;7800;Kan ikke beregnes;2141600;Ingen;5498200;NaturalGas;0;10500;B;0;C;7800;0;600;7500
311123462;15900;20600;0;0;768,181818181818;1500;Kan ikke beregnes;455900;Ingen;4813400;NaturalGas;0;1900;C;0;C;1500;0;1100;0
311428230;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
311131989;32400;52100;2,2;350;615,818181818182;17100;Kan ikke beregnes;5410600;Ingen;10614200;NaturalGas;0;18000;B;0;B;17100;0;8300;0
311419831;5800;3900;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;252200;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311419831;5800;3900;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;252200;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311419831;5800;3900;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;252200;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311419831;5800;3900;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;252200;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311353178;1800;1200;1,48;0;1480;0;Kan ikke beregnes;0;Ingen;112700;Electricity;0;0;A2020;0;A2020;0;0;0;0
311329035;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
100231160;Er ikke beregnet;Er ikke beregnet;2;0;666,666666666667;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;FuelOil;441,176470588235;Er ikke beregnet;;;C;4300;;0;0
200019887;Er ikke beregnet;Er ikke beregnet;2;0;649,090909090909;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;F;3000;;1600;3200
311412343;13100;14600;2,3;3473,19;660,72;4200;Kan ikke beregnes;384300;Wood;945100;DistrictHeat;0;4100;A2010;0;B;4200;0;2100;35000
311253326;7500;7800;0;2904;580,45;1600;Kan ikke beregnes;416000;Ingen;1099800;DistrictHeat;0;2000;A2010;0;B;1600;0;500;4400
311319848;19200;20900;2,3;0;656,363636363636;11500;Kan ikke beregnes;3388000;Electricity;5776700;NaturalGas;2300;9300;B;0;C;11500;0;9900;93400
311197828;140269;156217;2,1;49247;580,45;0;Kan ikke beregnes;0;Ingen;-1581375630;DistrictHeat;0;0;A2020;0;A2020;0;0;0;0
300004620;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
311144642;51000;75800;0;0;672,727272727273;17600;Kan ikke beregnes;5423500;Ingen;17640500;NaturalGas;0;16400;D;428500;D;17600;0;12300;0
311163742;6200;4300;2,3;3652,35;580,45;0;Kan ikke beregnes;0;Ingen;600700;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311026600;9200;10900;2,25;2927,43;573,76;6900;Kan ikke beregnes;1940900;Ingen;1525700;DistrictHeat;0;5200;A2020;140000;A2015;6900;0;5200;0
100253036;Er ikke beregnet;Er ikke beregnet;2;0;1889,99998569489;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;Electricity;0;Er ikke beregnet;;;C;38900;;17000;6600
311353963;52800;61400;2,1;0;1159,40594059406;43800;Kan ikke beregnes;8905900;Electricity;8473900;FuelGasOil;2100;36800;C;0;D;43800;0;37400;792200
311162810;10000;10800;2,28;3727,11;580,45;3500;84200;1022700;Ingen;1520000;DistrictHeat;0;1700;A2010;0;A2010;3500;0;3500;84200
311327789;11300;13000;2,36;4080,02;557,23;4300;Kan ikke beregnes;364100;Ingen;841800;DistrictHeat;0;2100;A2010;0;A2010;4300;0;4000;100000
200051525;Er ikke beregnet;Er ikke beregnet;2;1219,9625;597,3;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;D;151200;;105500;1010000
311158728;10100;11400;2,3;0;640,909090909091;1500;Kan ikke beregnes;465000;Electricity;3083700;NaturalGas;2300;1500;B;0;B;1500;0;1300;37600
100207356;Er ikke beregnet;Er ikke beregnet;2;0;727,272727272727;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;C;0;;0;0
310005646;40500;45600;2;0;887,85046728972;22800;Kan ikke beregnes;6831600;Ingen;12108400;FuelGasOil;0;25700;E;161600;E;22800;0;16600;0
311232092;6502;6892;1,574;0;1574;5100;77900;2080800;Wood;3279800;Electricity;340,909090909091;3500;D;0;D;5100;0;5100;77900
311154668;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
300003120;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
311320437;31007;26680;2,37;0;1123,76237623762;21600;Kan ikke beregnes;4011700;Wood;2688800;FuelGasOil;0;23100;A2020;0;A2020;21600;0;20800;200000
311327491;4800;3000;1,6;3129,2;557,23;0;Kan ikke beregnes;0;Ingen;191100;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
200020052;Er ikke beregnet;Er ikke beregnet;2;1138,1;557;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;C;29000;;17000;101500
311330964;42600;32300;2,25;21055,86;668,21;0;Kan ikke beregnes;0;Ingen;2093700;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311251597;197307;143747;2;113355,79;580,45;0;Kan ikke beregnes;0;Ingen;-1198597290;DistrictHeat;0;0;A2020;0;A2020;0;0;0;0
100133549;Er ikke beregnet;Er ikke beregnet;2;0;2000;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Petroleum;Er ikke beregnet;Electricity;927,835051546392;Er ikke beregnet;;;C;15200;;0;0
310029281;8000;8000;2;3257,8125;597,3;4100;70000;1379000;Ingen;1116800;DistrictHeat;0;2100;A2020;70000;A2020;4100;0;4100;0
311398130;1200;1500;0,819;0;819;0;Kan ikke beregnes;0;Ingen;279800;Electricity;0;0;A2020;0;A2020;0;0;0;0
311403262;8200;5300;2,5;4659,48;660,72;0;Kan ikke beregnes;0;Ingen;-25723750;DistrictHeat;0;0;A2020;0;A2020;0;0;0;0
311442128;74200;70700;2,2;32741,5;585,09;0;Kan ikke beregnes;0;Ingen;-271330150;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311376415;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
310015469;57400;45000;2,1;0;1138,61386138614;46900;Kan ikke beregnes;14319000;Electricity;14518700;FuelGasOil;2100;25100;B;70400;C;46900;0;42100;0
311409701;15500;22000;2,2;0;703,636363636364;5100;Kan ikke beregnes;1496200;Ingen;4475800;NaturalGas;0;7300;C;0;C;5100;0;2400;60700
100030226;Er ikke beregnet;Er ikke beregnet;2;1031;504,98;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B2;10;;0;0
100261862;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;NaturalGas;437,727272727273;Er ikke beregnet;;;D;9100;;900;4500
100227554;Er ikke beregnet;Er ikke beregnet;2;1170,48;573,1;Er ikke beregnet;3500;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;C;1100;;1100;3500
311408809;5500;3500;2,45;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;223000;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311414525;16200;7400;2,2;0;2200;-1400;Kan ikke beregnes;-128600;Ingen;1448000;Electricity;0;-700;C;0;C;-1400;0;100;2700
100170017;Er ikke beregnet;Er ikke beregnet;2,25;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;C;1100;;100;400
100191420;Er ikke beregnet;Er ikke beregnet;2;0;525,773196383077;Er ikke beregnet;1000;Er ikke beregnet;;Er ikke beregnet;WoodPellets;0;Er ikke beregnet;;;C;11100;;11100;1000
311103031;44800;29100;1,75;0;1750;41900;Kan ikke beregnes;15120100;Wood;16162700;Electricity;437,727272727273;25500;A2020;0;A2020;41900;0;41900;0
311216322;10300;17900;2,22;0;572,727272727273;2400;Kan ikke beregnes;731000;Wood;3635300;NaturalGas;0;1200;C;0;C;2400;0;2300;40300
311166767;16400;22400;2,3;0;672,727272727273;4500;Kan ikke beregnes;1396900;Ingen;5558900;NaturalGas;0;3400;C;0;D;4500;0;0;0
100126973;Er ikke beregnet;Er ikke beregnet;2;0;710,909090909091;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;D;0;;0;0
311153745;7800;12600;2,1;0;615,818181818182;4700;Kan ikke beregnes;1501700;Ingen;2570400;NaturalGas;0;4200;B;0;C;4700;0;0;0
311423286;13900;10500;1,53;0;1530;4000;Kan ikke beregnes;431800;Electricity;1670000;Electricity;1530;2500;B;0;C;4000;0;0;0
311374827;21300;18500;1,3;0;1300;15200;Kan ikke beregnes;1855200;Electricity;2903600;Electricity;1300;13100;A2010;0;B;15200;0;11900;149200
100271876;Er ikke beregnet;Er ikke beregnet;2,08;0;1014,85148514851;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;FuelGasOil;441,176470588235;Er ikke beregnet;;;A2;42960;;24700;240100
906222;Er ikke beregnet;Er ikke beregnet;2;1031;504,98;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B2;0;;0;0
100048497;Er ikke beregnet;Er ikke beregnet;2;0;0;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;;0;Er ikke beregnet;;;B1;0;;0;0
311029695;25800;34900;2,1;0;739,181818181818;12700;Kan ikke beregnes;3543700;Wood;7109400;NaturalGas;0;16800;C;264300;C;12700;0;6600;0
311375106;19800;27700;2;0;716,363636363636;12200;Kan ikke beregnes;2911900;Ingen;5632500;NaturalGas;0;14300;C;0;D;12200;0;5400;119300
100151265;Er ikke beregnet;Er ikke beregnet;1,8;0;1800;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;Electricity;437,727272727273;Er ikke beregnet;;;C;2200;;0;0
311163722;4800;2900;2,3;3054,27;580,45;0;Kan ikke beregnes;0;Ingen;407500;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311059725;9500;10700;2,14;3315,51;573,76;4200;Kan ikke beregnes;1176300;Ingen;1503100;DistrictHeat;0;4300;A2010;0;C;4200;0;0;0
100277232;Er ikke beregnet;Er ikke beregnet;2,22;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;B;2900;;0;0
311156185;8800;5900;1,5;0;1500;3000;Kan ikke beregnes;1349800;Wood;3863400;Electricity;0;2100;B;0;C;3000;0;800;18200
311417373;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
200046838;Er ikke beregnet;Er ikke beregnet;2;68928,0025;597,3;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;C;334200;;237700;736500
100124828;Er ikke beregnet;Er ikke beregnet;2;0;649,090909090909;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;G;2100;;0;0
311164725;4900;3100;2,3;3054,27;580,45;0;Kan ikke beregnes;0;Ingen;424500;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311116911;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
311345582;47400;42200;2,26;0;1122,77227722772;38100;Kan ikke beregnes;9974100;Ingen;11225200;FuelGasOil;0;35900;A2010;0;A2010;38100;0;38000;557000
311276063;11300;19500;2,1;0;578,181818181818;4200;Kan ikke beregnes;1405700;Ingen;3974000;NaturalGas;0;4900;C;0;C;4200;0;2900;79100
100061033;Er ikke beregnet;Er ikke beregnet;0;0;891,089075255098;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C1;0;;0;0
