Nummer;CalculatedConsumption;CalculatedEnergyConsumption;ElectricityPrice;FixedCharge;HeatSupplyCost;ExtraCostPrYear;TotalProfitableInvestment;CalculatedEmissionLowering;AdditionalHeat;CalculatedEmission;HeatSupply;AdditionalHeatCost;CalculatedEnergySavings;PossibleEnergyLabelForAllProposals;TotalRecommendedInvestment;PossibleEnergyLabelForAllProfitableProposals;ExtraCostPrYearForAllProposals;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYear;TotalProfitableInvestment
200019887;Er ikke beregnet;Er ikke beregnet;2;0;649,090909090909;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;F;3000;;1600;3200
311409624;5200;2900;2,45;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;187900;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
100191312;Er ikke beregnet;Er ikke beregnet;1,84;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;C;4200;;1900;28400
311392881;14500;18600;2,2;3642,66;585,09;2800;Kan ikke beregnes;299900;Ingen;1204500;DistrictHeat;0;4100;C;0;C;2800;0;1500;22400
200007464;Er ikke beregnet;Er ikke beregnet;2;0;940,594059405941;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;59400;;51500;17500
311239341;12100;14300;2,2;3745,8;580,45;3500;Kan ikke beregnes;988700;Ingen;2013500;DistrictHeat;0;2900;B;0;C;3500;0;0;0
200022797;Er ikke beregnet;Er ikke beregnet;0;0;772,277217439058;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;52200;;51000;13300
311303465;14700;13300;2,2;4080,02;557,23;6300;139000;1900500;Ingen;2865800;DistrictHeat;0;2700;B;0;B;6300;0;6300;139000
311258231;9900;10500;2,3;0;940,594059405941;9400;Kan ikke beregnes;2312900;Ingen;2771800;FuelGasOil;0;9700;A2010;0;C;9400;0;5100;107000
100273693;Er ikke beregnet;Er ikke beregnet;2,09;0;525,773195876289;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;WoodPellets;437,727272727273;Er ikke beregnet;;;C;5300;;0;0
311441348;68900;121200;2,1;0;519,090909090909;12400;Kan ikke beregnes;4896700;Ingen;24678100;NaturalGas;0;24000;C;0;C;12400;0;300;9900
311166156;21300;24300;2,01;7147,38;580,45;6500;Kan ikke beregnes;1987400;Ingen;3415100;DistrictHeat;0;5300;A2010;0;B;6500;0;4800;63000
311085017;954500;1166600;2,2;0;818,181818181818;465300;5119600;198535200;NaturalGas;237978300;NaturalGas;818,181818181818;365900;B;0;B;465300;0;465300;0
