Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
2100;False;Loft;3;False;10;Udskiftning af loftslem til ny med 60 mm isolering;1-1-1-0
5000;False;Varmefordelingspumper;1;True;600;Ny varmefordelingspumpe;2-2-3-0
17100;False;Yderdøre;4;False;400;Udskiftning af eksisterende yderdør;1-3-3-0
17400;False;Varmerør;0;True;1000;Isolering af varmerør op til 50 mm;2-2-2-0
305500;False;Krybekælder;2;False;1000;Nedrivning af eksisterende krybekælder og etablering af nyt terrændæk med 400 mm isolering;1-4-3-0
