Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
5500;False;Varmefordelingspumper;4;True;1000;Ny varmefordelingspumpe til varmeflade i ventilationsanlæg VE06;2-2-3-0
10000;False;Varmtvandspumper;0;True;4400;Ny on/off-styret cirkulationspumpe til varmt brugsvand;3-1-4-0
10000;False;Belysning;11;True;1600;Automatik på belysning i kantine;4-1-1-0
10000;False;Belysning;13;True;1900;Dagslysstyring på belysning i foyer og tilhørende trappe-/gangareal;4-1-1-0
11000;False;Varmefordelingspumper;3;True;2600;Ny varmefordelingspumper til varmeflader i ventilationsanlæg VE03;2-2-3-0
22000;False;Belysning;12;False;1400;Bevægelsesmeldere på belysning i toiletter og omklædningsrum;4-1-1-0
50000;False;Varmefordelingspumper;2;True;16000;Nye varmefordelingspumper i varmecentral;2-2-3-0
58500;False;Yderdøre;9;False;1400;Udskiftning af yderdøre med 2 lags termoruder;1-3-3-0
75000;False;Belysning;16;True;8300;Udskiftning til LED belysning i depot/lager i østfløj parterre;4-1-1-0
80000;False;Ventilation;6;True;11000;Udskiftning af dele i ventilationsanlæg VE03;1-5-1-0
120200;False;Solceller;1;True;12200;Montage af nye solceller;4-1-3-0
150000;False;Ventilation;5;True;12900;Udskiftning af ventilationsanlæg VE06;1-5-1-0
150000;False;Ventilation;7;True;43600;Udskiftning af tagventilatorer;1-5-1-0
240000;False;Belysning;15;False;8000;Udskiftning til LED belysning i mødelokaler;4-1-1-0
1600000;False;Belysning;14;True;107800;Udskiftning til LED belysning i kontorer;4-1-1-0
1854000;False;Vinduer;8;False;38400;Udskiftning af vinduer med 2 lags termoruder;1-3-1-0
2252700;False;Yderdøre;10;False;49300;Udskiftning af facadeparti med 2 lags termoruder inkl. ovenlyspartier;1-3-3-0
