Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
400;False;Varmtvandsrør;7;True;200;Isolering af tilslutningsrør til varmtvandsbeholder op til 50 mm.;3-1-3-0
900;False;Varmerør;8;True;800;Isolering af varmefordelingsrør op til 50 mm.;2-2-2-0
1700;False;Loft;5;True;50;Udskiftning af loftslem til ny med 60 mm. isolering.;1-1-1-0
36600;False;Hule ydervægge;2;False;600;Indvendig montage af forsatsvæg med 100 mm. isolering.;1-2-1-0
52500;False;Solceller;9;True;3400;Montage af nye solceller, Monokrystallinske silicium, 2,8 kW.;4-1-3-0
53300;False;Terrændæk;0;False;600;Ophugning af eksisterende terrændæk og støbning af nyt med 350 mm. mineraluld eller polystyrenplader.;1-4-1-0
53900;False;Lette ydervægge;3;False;1000;Efterisolering af lette ydervægge af træ med 100 mm. isolering.;1-2-3-0
58800;False;Loft;4;True;2100;Efterisolering af loftsrum med 350 mm. isolering.;1-1-1-0
74400;False;Vinduer;6;True;2600;Udskiftning til ny yderdør med trelags energirude og Udskiftning af vindue til trelags energirude.;1-3-1-0
186200;False;Terrændæk;1;False;900;Ophugning af eksisterende terrændæk og støbning af nyt med 350 mm. mineraluld eller polystyrenplader.;1-4-1-0
