Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
3600;False;Varmtvandsrør;9;True;300;Isolering af tilslutningsrør til varmtvandsbeholder op til 50 mm;3-1-3-0
4000;False;Varmtvandsrør;10;True;300;Isolering af brugsvandsrør og cirkulationsledning op til 50 mm;3-1-3-0
5000;False;Varmtvandspumper;3;False;300;Ny automatisk modulerende cirkulationspumpe;3-1-4-0
5900;False;Varmerør;8;True;700;Isolering af varmerør op til 50 mm;2-2-2-0
9700;False;Yderdøre;0;False;300;Udskiftning af eksisterende yderdør;1-3-3-0
11900;False;Vinduer;2;False;300;Udskiftning af eksisterende vinduer;1-3-1-0
12600;False;Etageadskillelse;6;True;800;Isolering af uisoleret gulv mod uopvarmet kælder med 100 mm isolering ;1-4-2-0
14600;False;Yderdøre;1;False;300;Udskiftning af eksisterende yderdør;1-3-3-0
22700;False;Loft;5;False;300;Efterisolering af loftsrum med 50 mm isolering;1-1-1-0
34500;False;Solceller;4;False;1700;Montage af nye solceller;4-1-3-0
61200;False;Etageadskillelse;7;False;1500;Efterisolering af gulv mod uopvarmet kælder med 150 mm isolering;1-4-2-0
