Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
40000;False;Varmefordeling;43;False;2600;Ny gasfyret kondenserende kedel.;2-2-0-0
58720;False;Vinduer, ovenlys og døre;42;False;1600;Udskiftning til energitermoruder.;1-3-0-0
197800;False;Ydervægge;46;False;2000;Supplerende ydervægsisolering.;1-2-0-0
310500;False;Tag og loft;45;False;2100;Supplerende isolering af tagkonstruktion.;1-1-0-0
445500;False;Gulve;44;False;3000;Supplerende isolering i gulve.;1-4-0-0
