Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
9000;False;Loft;1;False;200;Efterisolering af kvisttag;1-1-1-0
10600;False;Loft;4;True;400;Efterisolering af loft mod uopvarmet tagrum;1-1-1-0
22500;False;Loft;2;False;100;Efterisolering af kvistfront og flunke til en samlet isoleringsmængde på 250 mm;1-1-1-0
34300;False;Lette ydervægge;3;False;200;Indvendig efterisolering af træskeletvæg til en samlet isoleringsmængde på 250 mm;1-2-3-0
62900;False;Loft;0;False;400;Efterisolering af skråloftet;1-1-1-0
188300;False;Terrændæk;5;False;500;Etablering af nyt terrændæk;1-4-1-0
