Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
4500;False;Varmefordelingspumper;0;True;500;Ny varmefordelingspumpe;2-2-3-0
29900;False;Loft;3;True;1100;Efterisolering af loftrum med 100 mm isolering;1-1-1-0
32000;False;Solvarme;6;False;1300;Etablering af solvarme;2-1-6-0
35900;False;Vinduer;5;True;2600;Udskiftning af ruder i vinduer med termoruder;1-3-1-0
55000;False;Kedler;2;True;11800;Konvertering til gas hvor det eksisterende fordelingsanlæg genbruges;2-1-2-0
70000;False;Yderdøre;4;False;2200;Udskiftning af glasdør/terrassedør;1-3-3-0
77000;False;Solceller;1;False;3900;Montering af solceller;4-1-3-0
