Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
15000;False;Varmefordelingspumper;7;False;900;Ny varmefordelingspumpe;2-2-3-0
50000;False;Ventilation;9;False;2500;Udskiftning af boksventilatorer;1-5-1-0
123800;False;Solceller;8;True;10400;Montage af nye solceller;4-1-3-0
260800;False;Loft;0;False;4000;Efterisolering af loftsrum;1-1-1-0
532500;False;Massive ydervægge;1;False;8000;Efterisolering af massive betonydervægge;1-2-2-0
