Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
3200;False;Varmerør;5;True;300;Isolering af varmefordelingsrør op til 50 mm;2-2-2-0
14500;False;Loft;1;True;500;"Efterisolering af loftsrum med 150 mm isolering. Forslaget er ikke rentabelt alene med energibesparelser for øje, men ved renovering i anden sammenhæng bør forslaget udføres
";1-1-1-0
40300;False;Solceller;4;True;2200;"Montage af nye solceller, Monokrystallinske silicium, 1,8 kW. Den primære årsag til den lange tilbagebetalingstid er anlægsudgiften. Den skal dog holdes op imod forbedret komfort, øget ejendomsværdi og risikoen for stigende energipriser.
";4-1-3-0
