Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
19228;False;Varmtvandsrør;523985;True;3300;Merisolering af rør med op til 60 mm rørisolering. ;3-1-3-0
28350;False;Etageadskillelse;523988;True;1800;Merisolering gulv over krybekælder med 100 mm isolering. ;1-4-2-0
42588;False;Loft;523986;True;3800;Merisolering loft op til 350 mm isolering. ;1-1-1-0
67500;False;Hule ydervægge;523987;True;1800;Merisolering af ydervæg (indv.) med min. 100 mm isolering. ;1-2-1-0
