Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
400;False;Varmtvandsrør;9;True;200;Isolering af tilslutningsrør til varmtvandsbeholder op til 50 mm;3-1-3-0
800;False;Etageadskillelse;2;True;400;Isolering af etageadskillelse mod uopvarmet kælder til i alt 150 mm;1-4-2-0
5800;True;Loft;7;True;300;Isolering af lodret skunk til i alt 300 mm. ;1-1-1-0
6100;False;Loft;6;True;1700;Isolering af vandret skunk til i alt 300 mm. ;1-1-1-0
6800;False;Loft;3;True;200;Isolering af loft mod uopvarmet tagrum til i alt 350 mm.;1-1-1-0
7600;False;Yderdøre;11;False;200;Udskiftning til ny yderdør med tolags energirude;1-3-3-0
24100;False;Hule ydervægge;5;True;4400;Isolering af hule ydervægge ved indblæsning af granulat;1-2-1-0
42400;True;Vinduer;8;False;1200;Udskiftning af vinduer til tolags energirude;1-3-1-0
47300;False;Massive ydervægge;1;True;2700;Efterisolering af massive ydervægge til i alt 150 mm.;1-2-2-0
79300;False;Solceller;10;True;0;Montage af nye solceller, Monokrystaliske silicium, 4 kW;4-1-3-0
