Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
0;False;Varmefordelingspumper;9;False;500;Udskiftning af den eksisterende fordelingspumpe integreret i varmeforsyningen;2-2-3-0
1900;False;Varmtvandsrør;8;True;700;Isolering af tilslutningsrør med 30 mm rørskåle eller lamelmåtter;3-1-3-0
9700;False;Loft;5;False;300;Efterisolering af skunkvæg;1-1-1-0
12600;False;Loft;2;True;400;Efterisolering af loft mod uopvarmet tagrum;1-1-1-0
13100;False;Loft;6;False;300;Efterisolering af gulv i skunkrum;1-1-1-0
15000;False;Loft;3;False;60;Efterisolering af kvistfront og flunke til en samlet isoleringsmængde på 250 mm;1-1-1-0
58500;False;Lette ydervægge;0;False;200;Indvendig efterisolering af træskeletvæg til en samlet isoleringsmængde på 250 mm;1-2-3-0
70000;False;Vinduer;7;False;600;Udskiftning af vinduer med nye energivinduer (BR18 krav);1-3-1-0
79500;False;Loft;1;False;300;Efterisolering af skråvægge;1-1-1-0
319800;False;Terrændæk;4;False;700;Efterisolering af terrændæk iht. krav i kap. 7.4.2 i Bygningsreglementet.;1-4-1-0
