Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
9600;False;Yderdøre;0;False;300;Udskiftning til ny yderdør med trelags energiruder med varm kant;1-3-3-0
23800;False;Yderdøre;1;False;500;Udskiftning til nyt skydedørsparti med trelags energiruder med varm kant;1-3-3-0
34600;False;Loft;5;False;500;Efterisolering af loftsrum med 200 mm isolering;1-1-1-0
35900;False;Vinduer;2;False;800;Udskiftning af vinduer til trelags energiruder med varm kant;1-3-1-0
52500;False;Solceller;4;True;2700;Montage af nye solceller, Monokrystallinske silicium, 2,8 kW;4-1-3-0
