Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
11000;False;Yderdøre;2;False;200;Udskiftning af massiv yderdør med en ny energi-yderdør;1-3-3-0
32500;False;Yderdøre;3;False;600;Udskiftning af yderdøre m. termoruder;1-3-3-0
60000;False;Solceller;0;True;4400;"Montering af et solcelleanlæg på 20 m².
Forslaget vil forbedre den samlede energiøkonomi.";4-1-3-0
91000;False;Vinduer;1;False;1600;Udskiftning af tagvinduer med et nye energivinduer (BR15 krav) og udskiftning af vinduer med nye energivinduer (BR15 krav);1-3-1-0
158900;False;Loft;5;False;2100;Efterisolering af loft mod uopvarmet tagrum, efterisolering af skråloftet, efterisolering af skunkvæg og efterisolering af gulv i skunkrum;1-1-1-0
