Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
2600;False;Varmtvandsrør;4;True;700;Isolering af tilslutningsrør til varmtvandsbeholder op til 60 mm;3-1-3-0
19900;True;Vinduer;3;False;400;Udskiftning af vindue til tolags energirude;1-3-1-0
20000;False;Varmepumper;5;False;900;Installation af ny luft/luft anlæg, Bosch EHP 6 AA;2-1-5-0
25200;False;Yderdøre;2;False;500;Udskiftning til nyt skydedørsparti med tolags energirude;1-3-3-0
63000;False;Solceller;6;True;3700;Montage af nye solceller, Monokrystallinske silicium, 3,6 kW;4-1-3-0
