Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
9900;True;Vinduer;3;False;300;Udskiftning af tagvinduer med nye energivindue (BR10 krav);1-3-1-0
12000;True;Loft;0;True;600;"Efterisolering af loft mod uopvarmet tagrum
";1-1-1-0
20000;False;Varmepumper;5;True;1100;Installation af ny luft-luft varmepumpe;2-1-5-0
50000;True;Kedler;4;True;2800;Installation af en ny A-mærket solo gaskedel;2-1-2-0
80200;False;Loft;1;False;800;Efterisolering af skråvægge;1-1-1-0
