Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
1476;False;Ydervægge;72;True;200;Isolering af væg mod uopvarmet rum med 100 mm.;1-2-0-0
4500;False;Varmefordeling;73;False;500;Montering af ny cirkulationspumpe på varmeanlæg;2-2-0-0
5400;False;Tag og loft;66;False;1400;Efterisolering af skunkgulve/etageadskillelser mod skunk med 150 mm.;1-1-0-0
6750;False;Tag og loft;65;False;200;Efterisolering af lodrette skunkvægge med 200 mm.;1-1-0-0
7000;False;Gulve;70;False;700;Udførelse af nyt terrændæk.;1-4-0-0
9615;False;Tag og loft;64;False;200;Efterisolering af skråvægge med 150 mm i forbindelse med renovering.;1-1-0-0
15900;False;Ydervægge;69;Kan ikke beregnes;Kan ikke beregnes;Isolering af væg mod uopvarmet rum med 100 mm.;1-2-0-0
17880;False;Vinduer, ovenlys og døre;63;False;300;Udskiftning af 2 lags termoruder i vinduer/yderdøre til energiruder. ;1-3-0-0
21600;False;Tag og loft;71;Kan ikke beregnes;Kan ikke beregnes;Udvendig efterisolering af fladt tag med 200 mm.;1-1-0-0
23000;False;Solceller;75;False;600;Montering af 5 kvm solceller i taget.;4-1-3-0
60000;False;Solvarme;76;Kan ikke beregnes;Kan ikke beregnes;Montering af solvarmeanlæg;2-1-6-0
118450;False;Ydervægge;68;Kan ikke beregnes;Kan ikke beregnes;Indvendig eller udvendig efterisolering af ydervægge;1-2-0-0
120000;False;Varmepumper;74;Kan ikke beregnes;Kan ikke beregnes;Jordvarme, (væske/vand), nyt anlæg, omdrejningsreguleret;2-1-5-0
148000;False;Gulve;67;Kan ikke beregnes;Kan ikke beregnes;Udførelse af nyt terrændæk;1-4-0-0
