Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
7900;False;Vinduer;3;True;500;Udskiftning af rude i vindue;1-3-1-0
10000;False;Varmefordelingspumper;1;True;1000;Udskiftning af den eksisterende fordelingspumpe UPS 15-40;2-2-3-0
18400;False;Yderdøre;4;False;500;Udskiftning af rude i yderdør;1-3-3-0
45700;False;Loft;2;False;1000;Indvendig efterisolering af skråvægge med 100 mm isolering;1-1-1-0
130000;False;Varmefordeling;0;True;11200;Konvertering til opvarmning via varmepumpe, etablering af et nyt centralvarmeanlæg i ejendommen med lavtemperaturdrift og installation af ny luft-vand varmepumpe med en effekt på 11,1 kW;2-2-1-0
