Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
4500;False;Varmefordelingspumper;0;True;600;Ny varmefordelingspumpe;2-2-3-0
10800;False;Vinduer;2;True;800;Udskiftning af ruder i vinduer med termoruder;1-3-1-0
32000;False;Solvarme;3;False;1600;Etablering af solvarme;2-1-6-0
77000;False;Solceller;1;True;4400;Etablering af solceller;4-1-3-0
127600;False;Kælder ydervægge;4;True;23500;Indvendig efterisolering af kælderydervægge over jord med 200 mm;1-2-4-0
