Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
500;False;Varmtvandsrør;11;True;3500;Isolering af tilslutningsrør til varmtvandsbeholder;3-1-3-0
900;False;Varmerør;0;True;2300;"Isolering af 1 1/4 "" varmefordelingsrør op til 50 mm i teknikrum";2-2-2-0
6300;False;Belysning;3;True;4000;Udskift rør til LED og monter lys og bevægelses styring i toiletarealer;4-1-1-0
7900;False;Belysning;4;True;1200;Udskift rør til LED og monter lys og bevægelses styring i kantine;4-1-1-0
13000;False;Belysning;5;True;5100;Udskift rør til LED og monter lys og bevægelses styring i depot, teknik og serverrrum;4-1-1-0
18000;False;Varmefordelingspumper;2;True;1900;Nye varmefordelingspumper;2-2-3-0
24900;False;Belysning;6;True;4900;Udskift rør til LED rør i lagerrum;4-1-1-0
35000;False;Solvarme;10;False;1500;Montering af plan solfanger til brugsvand ;2-1-6-0
60000;False;Automatik;1;True;64900;Montage af automatik for central styring af varmeanlægget ;2-2-4-0
104300;False;Belysning;7;True;14600;Udskift rør til LED og monter lys og bevægelses styring i kontorarealer;4-1-1-0
110000;False;Kedler;12;True;17400;Udskiftning til ny kondenserende gaskedel.;2-1-2-0
462000;False;Solceller;8;True;30800;Etablering af solceller;4-1-3-0
