Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
1900;False;Loft;1;False;20;Efterisolering af kvisttag;1-1-1-0
5000;False;Varmefordelingspumper;6;True;600;Installation af ny fordelingspumpe;2-2-3-0
9300;False;Loft;5;True;300;Efterisolering af loft mod uopvarmet tagrum;1-1-1-0
9900;False;Loft;4;False;200;Efterisolering af gulv i skunkrum;1-1-1-0
12200;False;Loft;3;False;300;Efterisolering af skunkvæg;1-1-1-0
39000;False;Lette ydervægge;0;False;80;Indvendig efterisolering af træskeletvæg til en samlet isoleringsmængde på 250 mm;1-2-3-0
69400;False;Loft;2;False;300;Efterisolering af skråvægge;1-1-1-0
